Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T04:03:00|1653984180|11.58|11.58|11.58|11.58|11.58|100|11.58
2022-05-31T07:12:00|1653995520|11.43|11.43|11.43|11.43|11.43|600|11.43
2022-05-31T07:15:00|1653995700|11.43|11.43|11.43|11.43|11.43|900|11.43
2022-05-31T09:30:00|1654003800|11.445|11.39|11.5|11.39|11.48|9835|11.396289
2022-05-31T09:31:00|1654003860|11.445049999999998|11.4401|11.45|11.4401|11.45|458|11.446585
2022-05-31T09:32:00|1654003920|11.4025|11.44|11.465|11.34|11.37|6647|11.409797
2022-05-31T09:33:00|1654003980|11.374400000000001|11.38|11.41|11.3388|11.345|3330|11.372703
2022-05-31T09:34:00|1654004040|11.33|11.34|11.35|11.31|11.335|2548|11.334906
2022-05-31T09:35:00|1654004100|11.32|11.32|11.34|11.3|11.31|2589|11.315558
2022-05-31T09:36:00|1654004160|11.335|11.31|11.36|11.31|11.36|2100|11.341429
2022-05-31T09:37:00|1654004220|11.355|11.37|11.37|11.34|11.34|600|11.355817
2022-05-31T09:38:00|1654004280|11.33|11.32|11.35|11.31|11.35|3858|11.322701
2022-05-31T09:40:00|1654004400|11.375|11.36|11.39|11.36|11.39|900|11.37
2022-05-31T09:41:00|1654004460|11.39|11.38|11.41|11.37|11.41|2992|11.378777
2022-05-31T09:42:00|1654004520|11.41|11.41|11.42|11.4|11.4083|945|11.408088
2022-05-31T09:43:00|1654004580|11.3875|11.39|11.39|11.385|11.39|1770|11.388107
2022-05-31T09:44:00|1654004640|11.395|11.395|11.4|11.39|11.39|500|11.393
2022-05-31T09:45:00|1654004700|11.41|11.41|11.41|11.41|11.41|100|11.41
2022-05-31T09:46:00|1654004760|11.4|11.4025|11.41|11.39|11.4|3897|11.399829
2022-05-31T09:47:00|1654004820|11.379999999999999|11.4|11.4|11.36|11.37|1800|11.368611
2022-05-31T09:48:00|1654004880|11.375|11.35|11.4|11.35|11.38|3298|11.371825
2022-05-31T09:49:00|1654004940|11.395|11.39|11.41|11.38|11.38|2431|11.396092
2022-05-31T09:50:00|1654005000|11.379999999999999|11.36|11.4|11.36|11.4|1574|11.373812
2022-05-31T09:51:00|1654005060|11.375|11.39|11.39|11.36|11.36|1100|11.368227
2022-05-31T09:52:00|1654005120|11.370000000000001|11.36|11.38|11.36|11.38|1007|11.372269
2022-05-31T09:53:00|1654005180|11.39|11.37|11.41|11.37|11.41|1425|11.389123
2022-05-31T09:54:00|1654005240|11.43|11.41|11.45|11.41|11.44|5737|11.435242
2022-05-31T09:55:00|1654005300|11.43|11.44|11.44|11.42|11.43|1000|11.432
2022-05-31T09:56:00|1654005360|11.41|11.42|11.42|11.4|11.4|500|11.407
2022-05-31T09:57:00|1654005420|11.415|11.4|11.43|11.4|11.43|1175|11.412128
2022-05-31T09:58:00|1654005480|11.3875|11.3868|11.39|11.385|11.39|661|11.388464
2022-05-31T09:59:00|1654005540|11.34|11.34|11.34|11.34|11.34|100|11.34
2022-05-31T10:00:00|1654005600|11.344999999999999|11.345|11.36|11.33|11.36|1764|11.342778
2022-05-31T10:01:00|1654005660|11.35|11.35|11.36|11.34|11.35|1200|11.3525
2022-05-31T10:02:00|1654005720|11.364999999999998|11.37|11.37|11.36|11.36|200|11.365
2022-05-31T10:03:00|1654005780|11.335|11.35|11.35|11.32|11.33|400|11.3325
2022-05-31T10:04:00|1654005840|11.3225|11.325|11.325|11.32|11.325|2566|11.321687
2022-05-31T10:05:00|1654005900|11.305|11.32|11.32|11.29|11.29|1787|11.305243
2022-05-31T10:06:00|1654005960|11.29|11.29|11.3|11.28|11.285|1616|11.288453
2022-05-31T10:07:00|1654006020|11.2775|11.29|11.29|11.265|11.265|1109|11.28459
2022-05-31T10:08:00|1654006080|11.28|11.27|11.29|11.27|11.28|1184|11.277247
2022-05-31T10:09:00|1654006140|11.25|11.26|11.26|11.24|11.24|1615|11.254365
2022-05-31T10:10:00|1654006200|11.25|11.24|11.26|11.24|11.26|902|11.252217
2022-05-31T10:11:00|1654006260|11.246|11.25|11.25|11.242|11.25|600|11.248667
2022-05-31T10:12:00|1654006320|11.25|11.24|11.26|11.24|11.25|3639|11.246906
2022-05-31T10:13:00|1654006380|11.232500000000002|11.255|11.255|11.21|11.22|3650|11.232192
2022-05-31T10:14:00|1654006440|11.2275|11.23|11.23|11.225|11.225|506|11.229012
2022-05-31T10:15:00|1654006500|11.245000000000001|11.24|11.25|11.24|11.25|700|11.242143
2022-05-31T10:16:00|1654006560|11.26|11.25|11.27|11.25|11.27|1876|11.255469
2022-05-31T10:17:00|1654006620|11.28|11.285|11.29|11.27|11.27|665|11.28
2022-05-31T10:18:00|1654006680|11.265|11.26|11.28|11.25|11.28|1526|11.263873
2022-05-31T10:19:00|1654006740|11.280000000000001|11.27|11.3|11.26|11.29|3474|11.27967
2022-05-31T10:20:00|1654006800|11.305|11.3|11.31|11.3|11.3|1371|11.304741
2022-05-31T10:21:00|1654006860|11.3325|11.32|11.345|11.32|11.345|400|11.32625
2022-05-31T10:22:00|1654006920|11.3475|11.35|11.35|11.345|11.345|700|11.347857
2022-05-31T10:23:00|1654006980|11.344999999999999|11.35|11.35|11.34|11.35|1800|11.344444
2022-05-31T10:24:00|1654007040|11.375|11.36|11.39|11.36|11.39|2262|11.370274
2022-05-31T10:25:00|1654007100|11.365|11.39|11.39|11.34|11.36|2000|11.3585
2022-05-31T10:26:00|1654007160|11.34|11.34|11.34|11.34|11.34|539|11.34
2022-05-31T10:27:00|1654007220|11.35|11.35|11.36|11.34|11.35|1012|11.349012
2022-05-31T10:28:00|1654007280|11.355|11.35|11.36|11.35|11.36|700|11.351429
2022-05-31T10:29:00|1654007340|11.342500000000001|11.35|11.35|11.335|11.335|1800|11.343333
2022-05-31T10:30:00|1654007400|11.36|11.34|11.38|11.34|11.36|919|11.35531
2022-05-31T10:31:00|1654007460|11.375|11.37|11.38|11.37|11.375|600|11.3775
2022-05-31T10:32:00|1654007520|11.370000000000001|11.38|11.38|11.36|11.365|3079|11.367598
2022-05-31T10:34:00|1654007640|11.361|11.352|11.37|11.352|11.37|1250|11.36232
2022-05-31T10:35:00|1654007700|11.3635|11.362|11.365|11.362|11.365|200|11.3635
2022-05-31T10:36:00|1654007760|11.355|11.37|11.37|11.34|11.34|3700|11.348378
2022-05-31T10:37:00|1654007820|11.344999999999999|11.34|11.35|11.34|11.35|90700|11.349989
2022-05-31T10:38:00|1654007880|11.3575|11.35|11.365|11.35|11.365|1455|11.359622
2022-05-31T10:39:00|1654007940|11.36|11.36|11.36|11.36|11.36|400|11.36
2022-05-31T10:40:00|1654008000|11.370000000000001|11.36|11.38|11.36|11.375|648|11.370772
2022-05-31T10:41:00|1654008060|11.3625|11.37|11.37|11.355|11.355|1500|11.364667
2022-05-31T10:42:00|1654008120|11.375|11.36|11.39|11.36|11.39|1751|11.374769
2022-05-31T10:43:00|1654008180|11.3925|11.395|11.395|11.39|11.39|797|11.391255
2022-05-31T10:44:00|1654008240|11.3925|11.39|11.405|11.38|11.405|2201|11.388787
2022-05-31T10:46:00|1654008360|11.405000000000001|11.4|11.41|11.4|11.41|1803|11.408439
2022-05-31T10:47:00|1654008420|11.407499999999999|11.415|11.415|11.4|11.4|980|11.409694
2022-05-31T10:48:00|1654008480|11.4|11.4|11.41|11.39|11.41|1451|11.400416
2022-05-31T10:49:00|1654008540|11.415|11.42|11.42|11.41|11.42|891|11.417755
2022-05-31T10:50:00|1654008600|11.434999999999999|11.42|11.45|11.42|11.45|1293|11.436875
2022-05-31T10:51:00|1654008660|11.445|11.45|11.45|11.44|11.45|2900|11.443034
2022-05-31T10:52:00|1654008720|11.451|11.457|11.457|11.445|11.45|600|11.450333
2022-05-31T10:53:00|1654008780|11.445|11.44|11.45|11.44|11.44|1700|11.444706
2022-05-31T10:54:00|1654008840|11.4575|11.455|11.46|11.455|11.46|300|11.458333
2022-05-31T10:55:00|1654008900|11.4525|11.46|11.46|11.445|11.45|600|11.4525
2022-05-31T10:56:00|1654008960|11.44|11.45|11.45|11.43|11.43|2300|11.433043
2022-05-31T10:57:00|1654009020|11.415|11.42|11.42|11.41|11.42|387|11.417416
2022-05-31T10:58:00|1654009080|11.425|11.43|11.43|11.42|11.425|1400|11.425357
2022-05-31T11:00:00|1654009200|11.4275|11.42|11.435|11.42|11.435|600|11.4275
2022-05-31T11:01:00|1654009260|11.445|11.44|11.45|11.44|11.45|400|11.4425
2022-05-31T11:02:00|1654009320|11.4375|11.44|11.44|11.435|11.44|1000|11.439
2022-05-31T11:03:00|1654009380|11.4375|11.44|11.44|11.435|11.44|1100|11.439545
2022-05-31T11:04:00|1654009440|11.4375|11.44|11.44|11.435|11.44|705|11.439291
2022-05-31T11:05:00|1654009500|11.43|11.44|11.445|11.415|11.415|1240|11.431129
2022-05-31T11:06:00|1654009560|11.43|11.4267|11.44|11.42|11.43|2375|11.4311
2022-05-31T11:07:00|1654009620|11.425|11.43|11.43|11.42|11.42|1119|11.426425
2022-05-31T11:08:00|1654009680|11.395|11.415|11.415|11.375|11.38|1721|11.388425
2022-05-31T11:09:00|1654009740|11.375|11.375|11.38|11.37|11.375|2800|11.375179
2022-05-31T11:11:00|1654009860|11.377500000000001|11.38|11.38|11.375|11.375|1354|11.377581
2022-05-31T11:12:00|1654009920|11.364999999999998|11.37|11.37|11.36|11.36|1650|11.363939
2022-05-31T11:13:00|1654009980|11.3325|11.34|11.34|11.325|11.325|696|11.336408
2022-05-31T11:14:00|1654010040|11.325|11.33|11.33|11.32|11.33|400|11.32625
2022-05-31T11:15:00|1654010100|11.33|11.32|11.34|11.32|11.34|2255|11.325415
