Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-06-01T10:19:00|1654093140|9.77|9.77|9.77|9.77|9.77|200|9.77
2022-06-02T09:58:00|1654178280|9.774999999999999|9.78|9.78|9.77|9.77|7077|9.771696
2022-06-03T12:32:00|1654273920|9.755|9.755|9.755|9.755|9.755|1000|9.755
2022-06-03T12:51:00|1654275060|9.79|9.79|9.79|9.79|9.79|100|9.79
2022-06-03T14:28:00|1654280880|9.74|9.74|9.74|9.74|9.74|800|9.74
2022-06-03T14:39:00|1654281540|9.725000000000001|9.73|9.73|9.72|9.72|5300|9.727736
2022-06-03T14:42:00|1654281720|9.74|9.74|9.74|9.74|9.74|400|9.74
2022-06-03T15:04:00|1654283040|9.73|9.73|9.73|9.73|9.73|100|9.73
2022-06-03T15:05:00|1654283100|9.735|9.74|9.74|9.73|9.74|2195|9.737267
2022-06-03T15:22:00|1654284120|9.77|9.77|9.77|9.77|9.77|100|9.77
