Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|4.66|4.66|4.66|4.66|4.66|1008|4.66
2022-05-31T10:03:00|1654005780|4.695|4.695|4.695|4.695|4.695|215|4.695
2022-05-31T10:48:00|1654008480|4.7029|4.7029|4.7029|4.7029|4.7029|100|4.7029
2022-05-31T11:33:00|1654011180|4.72|4.72|4.72|4.72|4.72|496|4.72
2022-05-31T12:42:00|1654015320|4.7|4.7|4.7|4.7|4.7|200|4.7
2022-05-31T13:17:00|1654017420|4.7|4.7|4.7|4.7|4.7|200|4.7
2022-05-31T14:49:00|1654022940|4.6966|4.6966|4.6966|4.6966|4.6966|340|4.6966
2022-05-31T15:13:00|1654024380|4.7|4.7|4.7|4.7|4.7|253|4.7
2022-05-31T15:14:00|1654024440|4.6728|4.6728|4.6728|4.6728|4.6728|284|4.6728
2022-05-31T15:15:00|1654024500|4.68|4.68|4.68|4.68|4.68|280|4.68
2022-05-31T15:20:00|1654024800|4.685|4.685|4.685|4.685|4.685|300|4.685
2022-05-31T15:51:00|1654026660|4.69|4.69|4.69|4.69|4.69|100|4.69
2022-05-31T15:56:00|1654026960|4.69|4.69|4.69|4.69|4.69|200|4.69
2022-05-31T16:00:00|1654027200|4.69|4.69|4.69|4.69|4.69|150|4.69
2022-06-01T09:30:00|1654090200|4.7072|4.7072|4.7072|4.7072|4.7072|853|4.7072
2022-06-01T09:36:00|1654090560|4.7201|4.7201|4.7201|4.7201|4.7201|105|4.7201
2022-06-01T09:49:00|1654091340|4.73|4.73|4.73|4.73|4.73|100|4.73
2022-06-01T10:14:00|1654092840|4.7024|4.7024|4.7024|4.7024|4.7024|100|4.7024
2022-06-01T10:20:00|1654093200|4.705|4.71|4.71|4.7|4.7|201|4.704975
2022-06-01T10:56:00|1654095360|4.71|4.71|4.71|4.71|4.71|850|4.71
2022-06-01T11:29:00|1654097340|4.705|4.71|4.71|4.7|4.7|601|4.703328
2022-06-01T11:42:00|1654098120|4.71|4.71|4.71|4.71|4.71|200|4.71
2022-06-01T12:20:00|1654100400|4.7028|4.7|4.7056|4.7|4.7|2468|4.702269
2022-06-01T12:28:00|1654100880|4.702|4.702|4.702|4.702|4.702|1000|4.702
2022-06-01T14:38:00|1654108680|4.7075499999999995|4.7089|4.7089|4.7062|4.7062|200|4.70755
2022-06-01T14:53:00|1654109580|4.7075|4.705|4.71|4.705|4.71|300|4.708333
2022-06-01T14:58:00|1654109880|4.71|4.71|4.71|4.71|4.71|100|4.71
2022-06-01T15:00:00|1654110000|4.705|4.705|4.705|4.705|4.705|100|4.705
2022-06-01T17:49:00|1654120140|4.8149999999999995|4.84|4.84|4.79|4.79|200|4.815
2022-06-02T09:32:00|1654176720|4.73|4.73|4.73|4.73|4.73|200|4.73
2022-06-02T09:51:00|1654177860|4.73|4.73|4.73|4.73|4.73|2000|4.73
2022-06-02T10:08:00|1654178880|4.73|4.73|4.73|4.73|4.73|500|4.73
2022-06-02T10:25:00|1654179900|4.7|4.7|4.7|4.7|4.7|200|4.7
2022-06-02T11:35:00|1654184100|4.73|4.73|4.73|4.73|4.73|10288|4.73
