Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|0.21853|0.217|0.22006|0.217|0.22006|1434|0.218673
2022-05-31T09:35:00|1654004100|0.30395|0.2479|0.36|0.2479|0.36|8293|0.2952466
2022-05-31T09:38:00|1654004280|0.1551|0.1551|0.1551|0.1551|0.1551|500|0.1551
2022-05-31T09:49:00|1654004940|0.16255|0.1651|0.1651|0.16|0.16|8333|0.16153366
2022-05-31T10:00:00|1654005600|0.1999|0.1999|0.1999|0.1999|0.1999|100|0.1999
2022-05-31T10:05:00|1654005900|0.2039|0.2039|0.2039|0.2039|0.2039|500|0.2039
2022-05-31T10:16:00|1654006560|0.155|0.155|0.155|0.155|0.155|1000|0.155
2022-05-31T10:19:00|1654006740|0.1999|0.1999|0.1999|0.1999|0.1999|400|0.1999
2022-05-31T10:21:00|1654006860|0.2|0.2|0.2|0.2|0.2|100|0.2
2022-05-31T10:22:00|1654006920|0.1857|0.194|0.194|0.1774|0.1774|200|0.1857
2022-05-31T10:26:00|1654007160|0.18995|0.18|0.2|0.1799|0.2|9400|0.1874
2022-05-31T10:28:00|1654007280|0.20715|0.2043|0.21|0.2043|0.21|400|0.205725
2022-05-31T10:36:00|1654007760|0.196251|0.196251|0.196251|0.196251|0.196251|1000|0.196251
2022-05-31T12:33:00|1654014780|0.1658|0.1658|0.1658|0.1658|0.1658|300|0.1658
2022-05-31T12:48:00|1654015680|0.155|0.155|0.155|0.155|0.155|100|0.155
2022-05-31T12:51:00|1654015860|0.157|0.157|0.157|0.157|0.157|100|0.157
2022-05-31T12:55:00|1654016100|0.157|0.157|0.157|0.157|0.157|100|0.157
2022-05-31T12:57:00|1654016220|0.1565|0.157|0.157|0.156|0.157|1155|0.15691342
2022-05-31T13:14:00|1654017240|0.189|0.189|0.189|0.189|0.189|200|0.189
2022-05-31T13:15:00|1654017300|0.19205|0.191|0.195|0.1891|0.1891|500|0.19222
2022-05-31T13:16:00|1654017360|0.18205|0.1847|0.1991|0.165|0.165|1295|0.1785444
2022-05-31T15:59:00|1654027140|0.17|0.17|0.17|0.17|0.17|100|0.17
2022-06-01T09:30:00|1654090200|0.16|0.16|0.16|0.16|0.16|4033|0.16
2022-06-01T10:00:00|1654092000|0.14500000000000002|0.15755|0.16|0.13|0.13|8426|0.15215614
2022-06-01T12:35:00|1654101300|0.1698|0.1698|0.1698|0.1698|0.1698|100|0.1698
2022-06-01T13:01:00|1654102860|0.1444|0.1444|0.1444|0.1444|0.1444|304|0.1444
2022-06-01T15:16:00|1654110960|0.1556|0.1556|0.1556|0.1556|0.1556|200|0.1556
2022-06-01T15:46:00|1654112760|0.159899|0.159899|0.159899|0.159899|0.159899|300|0.159899
2022-06-01T15:57:00|1654113420|0.1556|0.1556|0.1556|0.1556|0.1556|400|0.1556
2022-06-02T09:30:00|1654176600|0.15994999999999998|0.16|0.16|0.1599|0.16|1503|0.15995988
2022-06-02T10:02:00|1654178520|0.13|0.13|0.13|0.13|0.13|200|0.13
2022-06-02T10:54:00|1654181640|0.1501|0.1501|0.1501|0.1501|0.1501|200|0.1501
2022-06-02T11:06:00|1654182360|0.155|0.155|0.155|0.155|0.155|105|0.155
2022-06-02T11:07:00|1654182420|0.150101|0.150101|0.150101|0.150101|0.150101|600|0.150101
2022-06-02T15:42:00|1654198920|0.1501|0.1501|0.1501|0.1501|0.1501|2300|0.1501
2022-06-03T10:50:00|1654267800|0.13|0.13|0.13|0.13|0.13|100|0.13
2022-06-03T12:04:00|1654272240|0.155|0.155|0.155|0.155|0.155|1625|0.155
2022-06-03T12:23:00|1654273380|0.15275|0.1555|0.1555|0.15|0.15|50000|0.15001925
2022-06-03T12:58:00|1654275480|0.158514|0.158514|0.158514|0.158514|0.158514|1000|0.158514
2022-06-03T14:17:00|1654280220|0.15994999999999998|0.1599|0.16|0.1599|0.16|730|0.1599863
2022-06-03T14:39:00|1654281540|0.155|0.155|0.155|0.155|0.155|2500|0.155
2022-06-03T14:42:00|1654281720|0.155|0.155|0.155|0.155|0.155|200|0.155
2022-06-03T15:19:00|1654283940|0.15|0.15|0.15|0.15|0.15|25100|0.15
2022-06-03T15:32:00|1654284720|0.1499|0.1499|0.1499|0.1499|0.1499|6183|0.1499
