Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|19.71|19.71|19.71|19.71|19.71|3807|19.71
2022-05-31T09:31:00|1654003860|19.8725|19.8725|19.8725|19.8725|19.8725|2000|19.8725
2022-05-31T09:36:00|1654004160|19.81|19.81|19.81|19.81|19.81|100|19.81
2022-05-31T09:38:00|1654004280|19.75|19.75|19.75|19.75|19.75|100|19.75
2022-05-31T09:39:00|1654004340|19.7375|19.75|19.75|19.725|19.725|1437|19.74826
2022-05-31T09:41:00|1654004460|19.63|19.63|19.63|19.63|19.63|100|19.63
2022-05-31T09:44:00|1654004640|19.630000000000003|19.64|19.64|19.62|19.63|1203|19.624156
2022-05-31T09:47:00|1654004820|19.6856|19.7312|19.7312|19.64|19.64|860|19.720595
2022-05-31T09:48:00|1654004880|19.63|19.63|19.63|19.63|19.63|100|19.63
2022-05-31T09:52:00|1654005120|19.58|19.62|19.62|19.54|19.54|888|19.610991
2022-05-31T09:53:00|1654005180|19.54|19.54|19.54|19.54|19.54|100|19.54
2022-05-31T09:54:00|1654005240|19.572499999999998|19.585|19.585|19.56|19.56|200|19.5725
2022-05-31T09:56:00|1654005360|19.6|19.56|19.65|19.55|19.65|611|19.606268
2022-05-31T09:57:00|1654005420|19.63|19.64|19.65|19.61|19.61|700|19.624286
2022-05-31T09:59:00|1654005540|19.615|19.615|19.615|19.615|19.615|100|19.615
2022-05-31T10:01:00|1654005660|19.66|19.66|19.66|19.66|19.66|496|19.66
2022-05-31T10:05:00|1654005900|19.6135|19.6135|19.6135|19.6135|19.6135|162|19.6135
2022-05-31T10:07:00|1654006020|19.61|19.61|19.61|19.61|19.61|100|19.61
2022-05-31T10:08:00|1654006080|19.619999999999997|19.63|19.63|19.61|19.61|400|19.615
2022-05-31T10:09:00|1654006140|19.56|19.56|19.56|19.56|19.56|800|19.56
2022-05-31T10:10:00|1654006200|19.5|19.5|19.5|19.5|19.5|100|19.5
2022-05-31T10:11:00|1654006260|19.5|19.5|19.5|19.5|19.5|100|19.5
2022-05-31T10:13:00|1654006380|19.57|19.57|19.57|19.57|19.57|400|19.57
2022-05-31T10:16:00|1654006560|19.675|19.67|19.68|19.67|19.68|300|19.676667
2022-05-31T10:18:00|1654006680|19.7|19.7|19.7|19.7|19.7|425|19.7
2022-05-31T10:19:00|1654006740|19.78|19.77|19.81|19.75|19.75|900|19.76
2022-05-31T10:20:00|1654006800|19.7495|19.7495|19.7495|19.7495|19.7495|300|19.7495
2022-05-31T10:21:00|1654006860|19.73|19.75|19.75|19.71|19.71|1361|19.73795
2022-05-31T10:22:00|1654006920|19.71|19.71|19.71|19.71|19.71|990|19.71
2022-05-31T10:28:00|1654007280|19.68|19.68|19.68|19.68|19.68|100|19.68
2022-05-31T10:29:00|1654007340|19.68|19.68|19.68|19.68|19.68|200|19.68
2022-05-31T10:31:00|1654007460|19.715|19.7|19.75|19.68|19.73|1700|19.74
2022-05-31T10:32:00|1654007520|19.72|19.73|19.73|19.71|19.71|800|19.7275
2022-05-31T10:33:00|1654007580|19.75|19.75|19.75|19.75|19.75|302|19.75
2022-05-31T10:36:00|1654007760|19.79|19.8|19.8|19.78|19.7888|1030|19.79559
2022-05-31T10:37:00|1654007820|19.78125|19.77|19.7925|19.77|19.79|1050|19.774048
2022-05-31T10:38:00|1654007880|19.7625|19.77|19.77|19.755|19.755|400|19.76625
2022-05-31T10:39:00|1654007940|19.7225|19.75|19.75|19.695|19.695|2109|19.731036
2022-05-31T10:42:00|1654008120|19.744999999999997|19.74|19.75|19.74|19.74|1010|19.74703
2022-05-31T10:45:00|1654008300|19.72|19.72|19.72|19.72|19.72|100|19.72
2022-05-31T10:46:00|1654008360|19.755000000000003|19.76|19.76|19.75|19.76|500|19.756
2022-05-31T10:47:00|1654008420|19.805|19.8|19.81|19.8|19.81|500|19.802
2022-05-31T10:48:00|1654008480|19.8125|19.8|19.825|19.8|19.825|200|19.8125
2022-05-31T10:49:00|1654008540|19.715|19.8|19.8|19.63|19.63|2915|19.67422
2022-05-31T10:57:00|1654009020|19.643749999999997|19.63|19.6575|19.63|19.6575|200|19.64375
2022-05-31T10:59:00|1654009140|19.61|19.61|19.61|19.61|19.61|100|19.61
2022-05-31T11:00:00|1654009200|19.61|19.61|19.61|19.61|19.61|100|19.61
2022-05-31T11:04:00|1654009440|19.65|19.69|19.69|19.61|19.61|400|19.66125
2022-05-31T11:09:00|1654009740|19.53|19.54|19.54|19.52|19.52|200|19.53
2022-05-31T11:13:00|1654009980|19.56|19.56|19.56|19.56|19.56|100|19.56
2022-05-31T11:17:00|1654010220|19.56|19.56|19.56|19.56|19.56|300|19.56
2022-05-31T11:18:00|1654010280|19.59|19.59|19.59|19.59|19.59|200|19.59
2022-05-31T11:20:00|1654010400|19.605|19.6|19.61|19.6|19.6|800|19.6025
2022-05-31T11:21:00|1654010460|19.61|19.6|19.62|19.6|19.62|2828|19.609569
2022-05-31T11:23:00|1654010580|19.61|19.63|19.63|19.59|19.62|864|19.609167
2022-05-31T11:25:00|1654010700|19.58475|19.6|19.6095|19.56|19.56|1500|19.591633
2022-05-31T11:28:00|1654010880|19.575|19.575|19.575|19.575|19.575|100|19.575
2022-05-31T11:29:00|1654010940|19.575|19.575|19.575|19.575|19.575|215|19.575
2022-05-31T11:32:00|1654011120|19.575|19.575|19.575|19.575|19.575|100|19.575
2022-05-31T11:34:00|1654011240|19.585|19.585|19.585|19.585|19.585|700|19.585
2022-05-31T11:36:00|1654011360|19.55|19.55|19.55|19.55|19.55|100|19.55
2022-05-31T11:37:00|1654011420|19.56|19.56|19.56|19.56|19.56|100|19.56
2022-05-31T11:38:00|1654011480|19.55|19.55|19.55|19.55|19.55|100|19.55
2022-05-31T11:39:00|1654011540|19.55|19.55|19.55|19.55|19.55|100|19.55
2022-05-31T11:41:00|1654011660|19.560000000000002|19.57|19.57|19.55|19.55|2808|19.561781
2022-05-31T11:42:00|1654011720|19.545|19.55|19.55|19.54|19.54|1200|19.549167
2022-05-31T11:46:00|1654011960|19.475|19.52|19.52|19.43|19.43|2501|19.506118
2022-05-31T11:48:00|1654012080|19.415|19.44|19.44|19.39|19.39|200|19.415
2022-05-31T11:49:00|1654012140|19.4|19.4|19.4|19.4|19.4|100|19.4
2022-05-31T11:51:00|1654012260|19.442500000000003|19.455|19.475|19.41|19.475|2878|19.44394
2022-05-31T11:52:00|1654012320|19.4688|19.475|19.475|19.4626|19.475|700|19.473229
2022-05-31T11:53:00|1654012380|19.497500000000002|19.475|19.52|19.475|19.5|2200|19.500682
2022-05-31T11:54:00|1654012440|19.4725|19.48|19.48|19.465|19.475|1227|19.477632
2022-05-31T11:55:00|1654012500|19.4925|19.5|19.51|19.475|19.51|1700|19.500588
2022-05-31T11:58:00|1654012680|19.4826|19.4826|19.4826|19.4826|19.4826|359|19.4826
2022-05-31T12:00:00|1654012800|19.490000000000002|19.51|19.51|19.47|19.47|200|19.49
2022-05-31T12:01:00|1654012860|19.51|19.51|19.51|19.51|19.51|116|19.51
2022-05-31T12:02:00|1654012920|19.515|19.48|19.55|19.48|19.48|27200|19.483621
2022-05-31T12:03:00|1654012980|19.48|19.48|19.48|19.48|19.48|200|19.48
2022-05-31T12:04:00|1654013040|19.5|19.5|19.5|19.5|19.5|400|19.5
2022-05-31T12:14:00|1654013640|19.41|19.44|19.44|19.38|19.43|3529|19.429649
2022-05-31T12:17:00|1654013820|19.384999999999998|19.37|19.4|19.37|19.37|1400|19.377857
2022-05-31T12:18:00|1654013880|19.34|19.36|19.36|19.32|19.32|200|19.34
2022-05-31T12:28:00|1654014480|19.28|19.28|19.28|19.28|19.28|100|19.28
2022-05-31T12:30:00|1654014600|19.31|19.31|19.31|19.31|19.31|100|19.31
2022-05-31T12:33:00|1654014780|19.3|19.3|19.3|19.3|19.3|100|19.3
2022-05-31T12:36:00|1654014960|19.32|19.32|19.32|19.32|19.32|100|19.32
2022-05-31T12:37:00|1654015020|19.3|19.3|19.3|19.3|19.3|356|19.3
2022-05-31T12:38:00|1654015080|19.31|19.31|19.31|19.31|19.31|100|19.31
2022-05-31T12:39:00|1654015140|19.31|19.31|19.31|19.31|19.31|200|19.31
2022-05-31T12:41:00|1654015260|19.325|19.32|19.33|19.32|19.33|1100|19.320909
2022-05-31T12:45:00|1654015500|19.33|19.32|19.34|19.32|19.34|200|19.33
2022-05-31T12:46:00|1654015560|19.32|19.32|19.32|19.32|19.32|200|19.32
2022-05-31T12:49:00|1654015740|19.315|19.315|19.315|19.315|19.315|100|19.315
2022-05-31T12:51:00|1654015860|19.33|19.33|19.33|19.33|19.33|100|19.33
2022-05-31T12:52:00|1654015920|19.3|19.3|19.3|19.3|19.3|300|19.3
2022-05-31T12:53:00|1654015980|19.28|19.28|19.28|19.28|19.28|300|19.28
2022-05-31T12:56:00|1654016160|19.285|19.29|19.3|19.27|19.27|3884|19.297981
2022-05-31T12:58:00|1654016280|19.275|19.275|19.275|19.275|19.275|100|19.275
2022-05-31T13:00:00|1654016400|19.275|19.275|19.275|19.275|19.275|200|19.275
2022-05-31T13:03:00|1654016580|19.24|19.24|19.24|19.24|19.24|600|19.24
2022-05-31T13:04:00|1654016640|19.2175|19.235|19.235|19.2|19.2|377|19.209284
2022-05-31T13:06:00|1654016760|19.195|19.195|19.195|19.195|19.195|100|19.195
2022-05-31T13:08:00|1654016880|19.24|19.24|19.24|19.24|19.24|500|19.24
2022-05-31T13:13:00|1654017180|19.28|19.28|19.28|19.28|19.28|100|19.28
2022-05-31T13:15:00|1654017300|19.285|19.285|19.285|19.285|19.285|100|19.285
2022-05-31T13:16:00|1654017360|19.244999999999997|19.25|19.25|19.24|19.24|500|19.246
2022-05-31T13:17:00|1654017420|19.235|19.24|19.24|19.23|19.235|600|19.2375
2022-05-31T13:18:00|1654017480|19.265|19.26|19.27|19.26|19.27|300|19.266667
2022-05-31T13:25:00|1654017900|19.25|19.24|19.26|19.24|19.26|600|19.243333
2022-05-31T13:26:00|1654017960|19.25|19.25|19.25|19.25|19.25|100|19.25
2022-05-31T13:31:00|1654018260|19.215|19.19|19.24|19.19|19.23|1200|19.2325
2022-05-31T13:33:00|1654018380|19.24|19.24|19.24|19.24|19.24|300|19.24
2022-05-31T13:34:00|1654018440|19.270000000000003|19.28|19.28|19.26|19.26|200|19.27
2022-05-31T13:37:00|1654018620|19.34|19.34|19.34|19.34|19.34|100|19.34
2022-05-31T13:41:00|1654018860|19.295|19.3|19.3|19.29|19.29|1500|19.296
2022-05-31T13:42:00|1654018920|19.285|19.285|19.285|19.285|19.285|100|19.285
2022-05-31T13:43:00|1654018980|19.2603|19.2603|19.2603|19.2603|19.2603|1000|19.2603
2022-05-31T13:45:00|1654019100|19.285|19.285|19.285|19.285|19.285|200|19.285
2022-05-31T13:46:00|1654019160|19.29|19.29|19.29|19.29|19.29|200|19.29
2022-05-31T13:48:00|1654019280|19.305|19.31|19.31|19.3|19.3|400|19.3025
2022-05-31T13:51:00|1654019460|19.3|19.3|19.3|19.3|19.3|100|19.3
2022-05-31T13:52:00|1654019520|19.314999999999998|19.32|19.32|19.31|19.315|700|19.315714
2022-05-31T13:54:00|1654019640|19.335|19.34|19.34|19.33|19.33|900|19.333333
2022-05-31T13:55:00|1654019700|19.317500000000003|19.315|19.32|19.315|19.32|300|19.316667
2022-05-31T13:56:00|1654019760|19.315|19.315|19.315|19.315|19.315|100|19.315
2022-05-31T13:57:00|1654019820|19.325|19.325|19.325|19.325|19.325|100|19.325
2022-05-31T13:59:00|1654019940|19.345|19.34|19.35|19.34|19.35|849|19.347644
2022-05-31T14:00:00|1654020000|19.365|19.365|19.365|19.365|19.365|100|19.365
2022-05-31T14:02:00|1654020120|19.375|19.37|19.38|19.37|19.38|800|19.375
2022-05-31T14:03:00|1654020180|19.375|19.375|19.375|19.375|19.375|100|19.375
2022-05-31T14:04:00|1654020240|19.37|19.39|19.39|19.35|19.35|800|19.36125
2022-05-31T14:10:00|1654020600|19.34|19.33|19.35|19.33|19.35|800|19.3475
