Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|25.13|25.13|25.13|25.13|25.13|908|25.13
2022-05-31T09:32:00|1654003920|25.0|25.0|25.0|25.0|25.0|200|25.0
2022-05-31T09:35:00|1654004100|24.995|25.01|25.01|24.98|24.98|997|24.992036
2022-05-31T09:37:00|1654004220|24.9|24.9|24.9|24.9|24.9|800|24.9
2022-05-31T09:38:00|1654004280|24.9|24.9|24.9|24.9|24.9|200|24.9
2022-05-31T09:43:00|1654004580|24.69|24.69|24.69|24.69|24.69|400|24.69
2022-05-31T10:07:00|1654006020|24.69|24.69|24.69|24.69|24.69|100|24.69
2022-05-31T10:12:00|1654006320|24.89|24.89|24.89|24.89|24.89|100|24.89
2022-05-31T10:13:00|1654006380|24.79|24.79|24.79|24.79|24.79|100|24.79
2022-05-31T10:15:00|1654006500|24.692|24.692|24.692|24.692|24.692|424|24.692
2022-05-31T10:23:00|1654006980|24.880000000000003|24.87|24.89|24.87|24.89|2120|24.882807
2022-05-31T10:46:00|1654008360|24.995|24.98|25.01|24.98|25.01|420|24.987143
2022-05-31T10:51:00|1654008660|25.01|25.01|25.01|25.01|25.01|248|25.01
2022-05-31T11:10:00|1654009800|24.845|24.845|24.845|24.845|24.845|319|24.845
2022-05-31T11:46:00|1654011960|24.7|24.7|24.7|24.7|24.7|120|24.7
2022-05-31T12:14:00|1654013640|24.8394|24.8394|24.8394|24.8394|24.8394|231|24.8394
2022-05-31T12:23:00|1654014180|24.94|24.94|24.94|24.94|24.94|100|24.94
2022-05-31T12:30:00|1654014600|24.99|24.99|24.99|24.99|24.99|600|24.99
2022-05-31T12:32:00|1654014720|24.99|24.99|24.99|24.99|24.99|297|24.99
2022-05-31T13:08:00|1654016880|24.9195|24.9195|24.9195|24.9195|24.9195|250|24.9195
2022-05-31T13:23:00|1654017780|24.87|24.87|24.87|24.87|24.87|200|24.87
2022-05-31T13:29:00|1654018140|24.903|24.903|24.903|24.903|24.903|151|24.903
2022-05-31T13:30:00|1654018200|24.9761|24.9761|24.9761|24.9761|24.9761|150|24.9761
2022-05-31T13:32:00|1654018320|24.9525|24.93|24.975|24.93|24.975|427|24.960445
2022-05-31T13:38:00|1654018680|24.95|24.95|24.95|24.95|24.95|100|24.95
2022-05-31T14:09:00|1654020540|24.985|24.98|24.99|24.98|24.99|500|24.986
2022-05-31T14:15:00|1654020900|24.99|24.99|24.99|24.99|24.99|1705|24.99
2022-05-31T14:29:00|1654021740|24.99|24.99|24.99|24.99|24.99|385|24.99
2022-05-31T14:32:00|1654021920|24.99|24.99|24.99|24.99|24.99|100|24.99
2022-05-31T14:43:00|1654022580|24.99|24.99|24.99|24.99|24.99|392|24.99
2022-05-31T14:53:00|1654023180|24.981499999999997|24.99|24.99|24.973|24.973|466|24.986352
2022-05-31T14:56:00|1654023360|25.06|25.06|25.06|25.06|25.06|100|25.06
2022-05-31T15:39:00|1654025940|25.04|25.04|25.04|25.04|25.04|100|25.04
2022-05-31T15:42:00|1654026120|25.04|25.04|25.04|25.04|25.04|100|25.04
2022-05-31T15:50:00|1654026600|25.07|25.05|25.09|25.05|25.06|1044|25.06931
2022-05-31T15:51:00|1654026660|25.060699999999997|25.06|25.0814|25.04|25.06|2200|25.063173
2022-05-31T15:52:00|1654026720|25.1|25.1|25.1|25.1|25.1|1000|25.1
2022-05-31T15:55:00|1654026900|25.09035|25.12|25.1307|25.05|25.08|3798|25.104494
2022-05-31T15:57:00|1654027020|25.115000000000002|25.09|25.14|25.09|25.14|1403|25.132117
2022-05-31T15:58:00|1654027080|25.14|25.14|25.14|25.14|25.14|900|25.14
2022-05-31T15:59:00|1654027140|25.14|25.14|25.14|25.14|25.14|164|25.14
2022-05-31T16:00:00|1654027200|25.14|25.14|25.14|25.14|25.14|27295|25.14
2022-06-01T09:30:00|1654090200|25.02|25.02|25.02|25.02|25.02|1400|25.02
2022-06-01T10:04:00|1654092240|25.0|25.0|25.0|25.0|25.0|500|25.0
2022-06-01T10:07:00|1654092420|25.0|25.0|25.0|25.0|25.0|1400|25.0
2022-06-01T10:09:00|1654092540|24.945|25.01|25.02|24.87|24.87|2308|24.984012
2022-06-01T10:29:00|1654093740|24.955|24.95|24.96|24.95|24.96|400|24.9525
2022-06-01T10:36:00|1654094160|24.94|24.94|24.94|24.94|24.94|100|24.94
2022-06-01T10:38:00|1654094280|24.865|24.9|24.9|24.83|24.83|3517|24.877157
2022-06-01T10:39:00|1654094340|24.77|24.77|24.77|24.77|24.77|100|24.77
2022-06-01T10:40:00|1654094400|24.83|24.83|24.83|24.83|24.83|820|24.83
2022-06-01T10:46:00|1654094760|24.84|24.84|24.84|24.84|24.84|100|24.84
2022-06-01T11:24:00|1654097040|24.89|24.89|24.89|24.89|24.89|1000|24.89
2022-06-01T11:28:00|1654097280|24.89495|24.9|24.9|24.8899|24.8899|450|24.892144
2022-06-01T12:06:00|1654099560|24.915|24.9|24.93|24.9|24.93|409|24.91533
2022-06-01T12:16:00|1654100160|24.9|24.9|24.9|24.9|24.9|100|24.9
2022-06-01T12:36:00|1654101360|24.8603|24.8603|24.8603|24.8603|24.8603|197|24.8603
2022-06-01T12:41:00|1654101660|24.92465|24.9193|24.93|24.9193|24.93|901|24.926515
2022-06-01T12:55:00|1654102500|24.92|24.92|24.92|24.92|24.92|100|24.92
2022-06-01T12:58:00|1654102680|24.93|24.93|24.93|24.93|24.93|403|24.93
2022-06-01T13:36:00|1654104960|24.92|24.92|24.92|24.92|24.92|211|24.92
2022-06-01T13:47:00|1654105620|25.01|25.01|25.01|25.01|25.01|200|25.01
2022-06-01T13:56:00|1654106160|24.9316|24.9316|24.9316|24.9316|24.9316|269|24.9316
2022-06-01T14:30:00|1654108200|25.05|25.05|25.05|25.05|25.05|300|25.05
2022-06-01T15:03:00|1654110180|25.08|25.08|25.08|25.08|25.08|100|25.08
2022-06-01T15:17:00|1654111020|25.01095|25.0|25.08|24.9419|25.08|2226|24.977044
2022-06-01T15:36:00|1654112160|25.05|25.05|25.05|25.05|25.05|100|25.05
2022-06-01T15:41:00|1654112460|25.05|25.05|25.05|25.05|25.05|100|25.05
2022-06-01T15:43:00|1654112580|25.069699999999997|25.06|25.0794|25.06|25.0794|900|25.070844
2022-06-01T15:44:00|1654112640|25.09|25.08|25.1|25.08|25.1|500|25.084
2022-06-01T15:50:00|1654113000|25.095|25.09|25.1|25.09|25.09|2534|25.093946
2022-06-01T15:51:00|1654113060|25.0681|25.0681|25.0681|25.0681|25.0681|600|25.0681
2022-06-01T15:58:00|1654113480|25.1|25.1|25.1|25.1|25.1|140|25.1
2022-06-01T16:00:00|1654113600|25.01|25.01|25.01|25.01|25.01|381|25.01
2022-06-02T09:30:00|1654176600|24.99|24.99|24.99|24.99|24.99|1003|24.99
2022-06-02T09:41:00|1654177260|25.01|25.01|25.01|25.01|25.01|100|25.01
2022-06-02T09:42:00|1654177320|25.0126|25.015|25.015|25.0102|25.0102|200|25.0126
2022-06-02T10:14:00|1654179240|25.002499999999998|24.955|25.05|24.955|25.05|1412|25.0
2022-06-02T10:22:00|1654179720|24.98|24.98|24.98|24.98|24.98|100|24.98
2022-06-02T10:40:00|1654180800|25.05|25.05|25.05|25.05|25.05|100|25.05
2022-06-02T10:56:00|1654181760|25.05|25.05|25.05|25.05|25.05|100|25.05
2022-06-02T11:11:00|1654182660|25.04|25.04|25.04|25.04|25.04|100|25.04
2022-06-02T11:17:00|1654183020|24.9965|24.9965|24.9965|24.9965|24.9965|137|24.9965
2022-06-02T11:18:00|1654183080|25.04|25.04|25.04|25.04|25.04|200|25.04
2022-06-02T11:25:00|1654183500|24.975|25.0|25.0|24.95|24.95|300|24.966667
2022-06-02T11:57:00|1654185420|25.035|25.04|25.04|25.03|25.03|300|25.036667
2022-06-02T12:00:00|1654185600|25.05|25.05|25.05|25.05|25.05|300|25.05
2022-06-02T12:05:00|1654185900|25.04|25.04|25.04|25.04|25.04|100|25.04
