Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T11:01:00|1654009260|0.985|0.98|0.99|0.98|0.99|1500|0.9873333
2022-05-31T11:02:00|1654009320|1.01|1.01|1.01|1.01|1.01|1000|1.01
2022-05-31T11:03:00|1654009380|1.02|1.02|1.02|1.02|1.02|600|1.02
2022-05-31T11:09:00|1654009740|1.0350000000000001|1.02|1.05|1.02|1.05|5000|1.0331
2022-05-31T11:10:00|1654009800|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-05-31T13:12:00|1654017120|1.0150000000000001|1.0|1.03|1.0|1.03|300|1.02
2022-05-31T14:34:00|1654022040|1.01|1.01|1.01|1.01|1.01|300|1.01
2022-05-31T15:15:00|1654024500|0.98665|0.99|0.9933|0.98|0.9933|1200|0.9874917
2022-05-31T15:16:00|1654024560|0.98995|0.9933|0.9933|0.9866|0.9866|800|0.988275
2022-05-31T15:17:00|1654024620|0.9866|0.9866|0.9866|0.9866|0.9866|600|0.9866
2022-05-31T15:18:00|1654024680|0.9883|0.9866|0.99|0.9866|0.99|600|0.9877333
2022-05-31T15:19:00|1654024740|0.985|0.99|0.99|0.98|0.9833|700|0.9857
2022-05-31T15:20:00|1654024800|0.9833|0.9833|0.9833|0.9833|0.9833|600|0.9833
2022-05-31T15:21:00|1654024860|0.9883|0.9833|0.9933|0.9833|0.9933|2300|0.9919957
2022-05-31T15:23:00|1654024980|0.9933|0.9933|0.9933|0.9933|0.9933|1800|0.9933
2022-05-31T15:27:00|1654025220|1.0|1.0038|1.02|0.98|0.98|1500|0.9940933
2022-05-31T15:28:00|1654025280|0.98|0.98|0.98|0.98|0.98|100|0.98
2022-05-31T15:29:00|1654025340|0.9983|1.0|1.0|0.9966|0.9966|600|0.9977333
2022-05-31T15:30:00|1654025400|0.99495|0.9966|0.9966|0.9933|0.9933|600|0.99605
2022-05-31T15:31:00|1654025460|0.9944|0.9965|0.9965|0.9923|0.9923|2000|0.99398
2022-05-31T15:32:00|1654025520|0.99695|1.0|1.0|0.9939|0.9939|2100|0.9991286
2022-05-31T15:36:00|1654025760|1.01|1.02|1.02|1.0|1.0|4500|1.0053333
2022-05-31T15:38:00|1654025880|1.005|1.01|1.01|1.0|1.0|5000|1.0026
2022-05-31T15:39:00|1654025940|1.005|1.0|1.02|0.99|0.99|13200|0.995078
2022-05-31T15:40:00|1654026000|1.005|0.99|1.02|0.99|0.9933|3600|0.9952778
2022-05-31T15:41:00|1654026060|0.99495|0.9933|0.9966|0.9933|0.9966|2500|0.996468
2022-05-31T15:42:00|1654026120|0.9983|0.9966|1.01|0.9866|0.99|11400|0.992643
2022-05-31T15:43:00|1654026180|0.99|0.99|0.99|0.99|0.99|175|0.99
2022-05-31T15:47:00|1654026420|0.9636|0.9636|0.9636|0.9636|0.9636|250|0.9636
2022-05-31T15:56:00|1654026960|0.94365|0.9439|0.9439|0.9434|0.9434|200|0.94365
2022-06-01T09:35:00|1654090500|1.04|1.04|1.04|1.04|1.04|600|1.04
2022-06-01T09:48:00|1654091280|1.045|1.04|1.05|1.04|1.05|1900|1.0452632
2022-06-01T10:03:00|1654092180|1.085|1.08|1.09|1.08|1.09|900|1.0833333
2022-06-01T10:14:00|1654092840|1.09|1.09|1.09|1.09|1.09|1700|1.09
2022-06-01T10:15:00|1654092900|1.09|1.09|1.09|1.09|1.09|300|1.09
2022-06-01T11:04:00|1654095840|1.085|1.09|1.09|1.08|1.08|800|1.0875
2022-06-01T11:05:00|1654095900|1.085|1.08|1.09|1.08|1.09|700|1.0885714
2022-06-01T11:14:00|1654096440|1.08635|1.0927|1.0927|1.08|1.08|1400|1.0897857
2022-06-01T11:15:00|1654096500|1.08|1.08|1.08|1.08|1.08|200|1.08
2022-06-01T11:23:00|1654096980|1.0750000000000002|1.08|1.08|1.07|1.08|900|1.0777778
2022-06-01T11:46:00|1654098360|1.05|1.05|1.05|1.05|1.05|2400|1.05
2022-06-01T12:12:00|1654099920|1.03|1.04|1.04|1.02|1.04|4900|1.0318367
2022-06-01T12:14:00|1654100040|1.04|1.04|1.04|1.04|1.04|200|1.04
2022-06-01T12:18:00|1654100280|1.07|1.07|1.07|1.07|1.07|200|1.07
2022-06-01T12:24:00|1654100640|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-06-01T12:25:00|1654100700|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-06-01T12:26:00|1654100760|1.0750000000000002|1.07|1.08|1.07|1.08|200|1.075
2022-06-01T12:27:00|1654100820|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-06-01T12:28:00|1654100880|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-06-01T12:29:00|1654100940|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-06-01T12:31:00|1654101060|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-06-01T12:32:00|1654101120|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-06-01T12:33:00|1654101180|1.07|1.07|1.07|1.07|1.07|100|1.07
2022-06-01T12:34:00|1654101240|1.0750000000000002|1.07|1.08|1.07|1.08|1400|1.0792857
2022-06-01T12:35:00|1654101300|1.0750000000000002|1.08|1.08|1.07|1.07|400|1.0775
2022-06-01T12:40:00|1654101600|1.06|1.06|1.06|1.06|1.06|400|1.06
2022-06-01T12:41:00|1654101660|1.06|1.06|1.06|1.06|1.06|100|1.06
2022-06-01T12:42:00|1654101720|1.06|1.06|1.06|1.06|1.06|100|1.06
2022-06-01T12:55:00|1654102500|1.06|1.06|1.06|1.06|1.06|500|1.06
2022-06-01T12:56:00|1654102560|1.0550000000000002|1.05|1.06|1.05|1.06|400|1.055
2022-06-01T12:59:00|1654102740|1.0550000000000002|1.06|1.06|1.05|1.05|300|1.0566667
2022-06-01T13:39:00|1654105140|1.05|1.06|1.06|1.04|1.05|3000|1.0583333
2022-06-01T13:40:00|1654105200|1.05|1.05|1.05|1.05|1.05|500|1.05
2022-06-01T13:41:00|1654105260|1.05|1.05|1.05|1.05|1.05|100|1.05
2022-06-01T13:42:00|1654105320|1.04|1.04|1.04|1.04|1.04|100|1.04
2022-06-01T13:44:00|1654105440|1.06|1.06|1.06|1.06|1.06|100|1.06
2022-06-01T13:45:00|1654105500|1.05|1.05|1.05|1.05|1.05|100|1.05
2022-06-01T13:46:00|1654105560|1.04|1.04|1.04|1.04|1.04|100|1.04
2022-06-01T13:49:00|1654105740|1.04|1.04|1.04|1.04|1.04|100|1.04
2022-06-01T13:55:00|1654106100|1.06|1.06|1.06|1.06|1.06|200|1.06
2022-06-01T14:20:00|1654107600|1.0550000000000002|1.06|1.06|1.05|1.06|2991|1.0583283
2022-06-01T14:21:00|1654107660|1.0550000000000002|1.06|1.06|1.05|1.05|2900|1.0527586
2022-06-01T14:23:00|1654107780|1.065|1.06|1.07|1.06|1.07|1200|1.0616667
2022-06-01T14:26:00|1654107960|1.065|1.07|1.07|1.06|1.06|2700|1.0622222
2022-06-01T14:27:00|1654108020|1.06|1.06|1.06|1.06|1.06|600|1.06
2022-06-01T14:28:00|1654108080|1.05|1.05|1.05|1.05|1.05|200|1.05
2022-06-01T14:33:00|1654108380|1.04|1.05|1.05|1.03|1.04|700|1.0442857
2022-06-01T14:37:00|1654108620|1.03|1.03|1.03|1.03|1.03|100|1.03
2022-06-01T14:41:00|1654108860|1.03|1.03|1.03|1.03|1.03|300|1.03
2022-06-01T14:56:00|1654109760|1.03|1.03|1.03|1.03|1.03|1500|1.03
2022-06-01T14:59:00|1654109940|1.0350000000000001|1.0346|1.04|1.03|1.03|3000|1.03164
2022-06-01T15:05:00|1654110300|1.03|1.03|1.03|1.03|1.03|600|1.03
2022-06-01T15:07:00|1654110420|1.03|1.03|1.03|1.03|1.03|2400|1.03
2022-06-01T15:08:00|1654110480|1.03|1.03|1.03|1.03|1.03|600|1.03
2022-06-01T15:09:00|1654110540|1.03|1.03|1.03|1.03|1.03|600|1.03
2022-06-01T15:11:00|1654110660|1.03|1.03|1.03|1.03|1.03|600|1.03
2022-06-01T15:12:00|1654110720|1.03|1.03|1.03|1.03|1.03|600|1.03
