Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|9.76|9.76|9.76|9.76|9.76|181|9.76
2022-05-31T09:33:00|1654003980|9.805|9.805|9.805|9.805|9.805|100|9.805
2022-05-31T10:05:00|1654005900|9.805|9.805|9.81|9.8|9.805|1004|9.806016
2022-05-31T10:06:00|1654005960|9.807500000000001|9.81|9.81|9.805|9.81|3300|9.807879
2022-05-31T10:07:00|1654006020|9.795|9.8|9.8|9.79|9.8|381|9.797375
2022-05-31T10:08:00|1654006080|9.81|9.81|9.81|9.81|9.81|200|9.81
2022-05-31T10:09:00|1654006140|9.81|9.81|9.81|9.81|9.81|1200|9.81
2022-05-31T10:11:00|1654006260|9.79|9.79|9.79|9.79|9.79|156|9.79
2022-05-31T11:08:00|1654009680|9.795|9.81|9.81|9.78|9.79|6000|9.7925
2022-05-31T11:10:00|1654009800|9.81|9.81|9.81|9.81|9.81|1000|9.81
2022-05-31T14:44:00|1654022640|9.81|9.81|9.81|9.81|9.81|15000|9.81
2022-05-31T14:45:00|1654022700|9.81|9.81|9.81|9.81|9.81|5727|9.81
2022-06-01T12:44:00|1654101840|9.8185|9.82|9.82|9.817|9.82|1000|9.8194
2022-06-01T13:11:00|1654103460|9.795|9.795|9.795|9.795|9.795|299|9.795
2022-06-02T11:34:00|1654184040|9.78|9.785|9.79|9.77|9.79|121362|9.786576
2022-06-02T13:43:00|1654191780|9.79|9.79|9.79|9.79|9.79|200|9.79
2022-06-03T15:47:00|1654285620|9.76|9.76|9.76|9.76|9.76|9968|9.76
