Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|4.10325|4.1|4.11|4.0965|4.1|12644|4.099842
2022-05-31T09:31:00|1654003860|4.1399|4.1399|4.1399|4.1399|4.1399|2000|4.1399
2022-05-31T09:32:00|1654003920|4.11|4.105|4.115|4.105|4.115|4900|4.109898
2022-05-31T09:46:00|1654004760|4.1|4.11|4.11|4.09|4.09|3100|4.109274
2022-05-31T09:57:00|1654005420|4.09|4.09|4.09|4.09|4.09|200|4.09
2022-05-31T10:00:00|1654005600|4.1177|4.1368|4.1368|4.0986|4.0986|3700|4.105827
2022-05-31T10:01:00|1654005660|4.06005|4.09|4.1|4.0201|4.1|9376|4.059044
2022-05-31T10:06:00|1654005960|4.115|4.11|4.12|4.11|4.12|4476|4.119777
2022-05-31T10:21:00|1654006860|4.05|4.05|4.05|4.05|4.05|400|4.05
2022-05-31T10:32:00|1654007520|4.13|4.13|4.13|4.13|4.13|800|4.13
2022-05-31T10:50:00|1654008600|4.1204|4.1204|4.1204|4.1204|4.1204|200|4.1204
2022-05-31T10:53:00|1654008780|4.1185|4.1185|4.1185|4.1185|4.1185|125|4.1185
2022-05-31T10:58:00|1654009080|4.1297|4.1294|4.13|4.1294|4.13|450|4.129533
2022-05-31T11:14:00|1654010040|4.140000000000001|4.13|4.15|4.13|4.15|680|4.136456
2022-05-31T11:37:00|1654011420|4.15|4.15|4.15|4.15|4.15|100|4.15
2022-05-31T11:49:00|1654012140|4.1194|4.1194|4.1194|4.1194|4.1194|389|4.1194
2022-05-31T12:03:00|1654012980|4.13|4.13|4.13|4.13|4.13|200|4.13
2022-05-31T12:20:00|1654014000|4.1476|4.1476|4.1476|4.1476|4.1476|500|4.1476
2022-05-31T12:33:00|1654014780|4.145|4.15|4.15|4.14|4.14|5146|4.149611
2022-05-31T12:34:00|1654014840|4.16|4.155|4.165|4.155|4.165|5090|4.16
2022-05-31T12:56:00|1654016160|4.17|4.17|4.17|4.17|4.17|100|4.17
2022-05-31T13:06:00|1654016760|4.12|4.16|4.16|4.08|4.08|3167|4.154288
2022-05-31T13:11:00|1654017060|4.0801|4.0801|4.0801|4.0801|4.0801|3000|4.0801
2022-05-31T13:20:00|1654017600|4.115|4.115|4.115|4.115|4.115|1000|4.115
2022-05-31T13:26:00|1654017960|4.1499|4.1499|4.1499|4.1499|4.1499|500|4.1499
2022-05-31T13:55:00|1654019700|4.119|4.14|4.14|4.098|4.098|1400|4.101
2022-05-31T14:15:00|1654020900|4.08|4.08|4.09|4.07|4.07|746|4.079383
2022-05-31T14:19:00|1654021140|4.02|4.02|4.02|4.02|4.02|100|4.02
2022-05-31T14:23:00|1654021380|4.0799|4.0799|4.0799|4.0799|4.0799|5000|4.0799
2022-05-31T14:24:00|1654021440|4.05|4.05|4.05|4.05|4.05|230|4.05
2022-05-31T14:49:00|1654022940|4.047499999999999|4.045|4.05|4.045|4.05|1100|4.045455
2022-05-31T15:04:00|1654023840|4.05|4.05|4.05|4.05|4.05|100|4.05
2022-05-31T15:14:00|1654024440|4.05|4.05|4.05|4.05|4.05|100|4.05
2022-05-31T15:19:00|1654024740|4.0525|4.0525|4.0525|4.0525|4.0525|190|4.0525
2022-05-31T15:35:00|1654025700|4.0746|4.0746|4.0746|4.0746|4.0746|660|4.0746
2022-05-31T15:41:00|1654026060|4.05|4.05|4.05|4.05|4.05|110|4.05
2022-05-31T15:42:00|1654026120|4.08|4.08|4.08|4.08|4.08|200|4.08
2022-05-31T15:46:00|1654026360|4.068|4.068|4.068|4.068|4.068|500|4.068
2022-05-31T15:47:00|1654026420|4.055|4.07|4.07|4.04|4.04|1097|4.058149
2022-05-31T15:50:00|1654026600|4.04|4.04|4.04|4.04|4.04|100|4.04
2022-05-31T15:53:00|1654026780|4.0599|4.0599|4.0599|4.0599|4.0599|199|4.0599
2022-05-31T15:57:00|1654027020|4.0366|4.0366|4.0366|4.0366|4.0366|1300|4.0366
2022-05-31T15:58:00|1654027080|4.035|4.04|4.05|4.02|4.05|4539|4.040086
2022-05-31T15:59:00|1654027140|4.08|4.05|4.11|4.05|4.1|1960|4.083122
2022-05-31T16:00:00|1654027200|4.1|4.1|4.1|4.1|4.1|13925|4.1
2022-06-01T09:30:00|1654090200|4.14|4.14|4.14|4.14|4.14|743|4.14
2022-06-01T09:32:00|1654090320|4.1433|4.15|4.15|4.1366|4.1366|719|4.143291
2022-06-01T09:33:00|1654090380|4.15|4.15|4.15|4.15|4.15|100|4.15
2022-06-01T09:34:00|1654090440|4.1499|4.1499|4.1499|4.1499|4.1499|200|4.1499
2022-06-01T09:36:00|1654090560|4.1475|4.15|4.15|4.145|4.145|2535|4.149661
2022-06-01T09:37:00|1654090620|4.1784|4.1784|4.1784|4.1784|4.1784|800|4.1784
2022-06-01T10:24:00|1654093440|4.1697|4.1697|4.1697|4.1697|4.1697|110|4.1697
2022-06-01T10:31:00|1654093860|4.1467|4.1467|4.1467|4.1467|4.1467|1742|4.1467
2022-06-01T10:33:00|1654093980|4.1721|4.1721|4.1721|4.1721|4.1721|300|4.1721
2022-06-01T10:37:00|1654094220|4.13|4.13|4.13|4.13|4.13|100|4.13
2022-06-01T10:50:00|1654095000|4.13|4.13|4.13|4.13|4.13|100|4.13
2022-06-01T10:57:00|1654095420|4.162|4.162|4.162|4.162|4.162|100|4.162
2022-06-01T11:51:00|1654098660|4.125|4.13|4.14|4.11|4.11|1281|4.129219
2022-06-01T12:26:00|1654100760|4.1357|4.1357|4.1357|4.1357|4.1357|116|4.1357
2022-06-01T13:06:00|1654103160|4.1579999999999995|4.136|4.18|4.136|4.18|2107|4.143383
2022-06-01T13:08:00|1654103280|4.18|4.18|4.18|4.18|4.18|100|4.18
2022-06-01T13:09:00|1654103340|4.1850000000000005|4.17|4.2|4.17|4.1999|1240|4.180618
2022-06-01T13:10:00|1654103400|4.2275|4.2|4.255|4.2|4.255|19066|4.238294
2022-06-01T13:11:00|1654103460|4.2825|4.28|4.3|4.265|4.265|2045|4.286792
2022-06-01T13:12:00|1654103520|4.275|4.27|4.28|4.27|4.28|1771|4.276612
2022-06-01T13:14:00|1654103640|4.2781|4.2781|4.2781|4.2781|4.2781|1000|4.2781
2022-06-01T13:26:00|1654104360|4.2925|4.285|4.3|4.285|4.285|5713|4.299475
2022-06-01T13:27:00|1654104420|4.2925|4.285|4.3|4.285|4.3|467|4.296788
2022-06-01T13:45:00|1654105500|4.2925|4.285|4.3|4.285|4.2996|6764|4.29964
2022-06-01T13:57:00|1654106220|4.3499|4.3499|4.3499|4.3499|4.3499|200|4.3499
2022-06-01T14:01:00|1654106460|4.29|4.29|4.29|4.29|4.29|100|4.29
2022-06-01T14:13:00|1654107180|4.3|4.3|4.3|4.3|4.3|142|4.3
2022-06-01T14:18:00|1654107480|4.3388|4.3388|4.3388|4.3388|4.3388|115|4.3388
2022-06-01T14:31:00|1654108260|4.271|4.271|4.271|4.271|4.271|200|4.271
2022-06-01T14:34:00|1654108440|4.3|4.3|4.3|4.3|4.3|100|4.3
2022-06-01T14:47:00|1654109220|4.3067|4.3067|4.3067|4.3067|4.3067|100|4.3067
2022-06-01T15:01:00|1654110060|4.3299|4.3299|4.3299|4.3299|4.3299|344|4.3299
2022-06-01T15:05:00|1654110300|4.3|4.3|4.3|4.3|4.3|302|4.3
2022-06-01T15:10:00|1654110600|4.3001|4.3001|4.3001|4.3001|4.3001|200|4.3001
2022-06-01T15:15:00|1654110900|4.305|4.305|4.305|4.305|4.305|100|4.305
2022-06-01T15:21:00|1654111260|4.30805|4.3061|4.31|4.3061|4.31|680|4.306674
2022-06-01T15:22:00|1654111320|4.3175|4.31|4.33|4.305|4.33|3618|4.323781
2022-06-01T15:25:00|1654111500|4.3655|4.34|4.396|4.335|4.396|6664|4.352155
2022-06-01T15:30:00|1654111800|4.36|4.36|4.36|4.36|4.36|200|4.36
2022-06-01T15:32:00|1654111920|4.348649999999999|4.35|4.35|4.3473|4.3473|1053|4.349744
2022-06-01T15:34:00|1654112040|4.31|4.31|4.31|4.31|4.31|100|4.31
2022-06-01T15:38:00|1654112280|4.3352|4.32|4.36|4.3104|4.36|11006|4.319191
2022-06-01T15:40:00|1654112400|4.3599|4.3599|4.3599|4.3599|4.3599|1000|4.3599
2022-06-01T15:44:00|1654112640|4.3525|4.345|4.36|4.345|4.36|800|4.358113
2022-06-01T15:46:00|1654112760|4.355|4.355|4.355|4.355|4.355|182|4.355
2022-06-01T15:52:00|1654113120|4.36|4.36|4.36|4.36|4.36|300|4.36
2022-06-01T15:55:00|1654113300|4.353|4.336|4.37|4.336|4.37|1700|4.348541
2022-06-01T15:59:00|1654113540|4.37005|4.3401|4.4|4.3401|4.3962|2310|4.379855
2022-06-01T16:00:00|1654113600|4.31|4.31|4.31|4.31|4.31|668|4.31
2022-06-02T09:30:00|1654176600|4.355|4.31|4.4|4.31|4.4|1499|4.316004
2022-06-02T09:31:00|1654176660|4.388999999999999|4.398|4.398|4.38|4.38|200|4.389
2022-06-02T09:35:00|1654176900|4.38|4.38|4.38|4.38|4.38|100|4.38
2022-06-02T09:36:00|1654176960|4.403650000000001|4.3973|4.41|4.3973|4.4|3705|4.399978
2022-06-02T09:37:00|1654177020|4.4|4.4|4.4|4.4|4.4|329|4.4
2022-06-02T09:41:00|1654177260|4.4887|4.4874|4.49|4.4874|4.49|280|4.488329
2022-06-02T09:42:00|1654177320|4.475|4.49|4.49|4.46|4.46|1100|4.462727
2022-06-02T09:43:00|1654177380|4.455|4.455|4.455|4.455|4.455|100|4.455
2022-06-02T09:44:00|1654177440|4.4857|4.4857|4.4857|4.4857|4.4857|100|4.4857
2022-06-02T09:45:00|1654177500|4.51|4.49|4.56|4.46|4.5|4017|4.497553
2022-06-02T09:48:00|1654177680|4.5975|4.565|4.63|4.565|4.627|2000|4.62285
2022-06-02T09:50:00|1654177800|4.56|4.56|4.56|4.56|4.56|300|4.56
2022-06-02T09:52:00|1654177920|4.562|4.562|4.562|4.562|4.562|300|4.562
2022-06-02T09:56:00|1654178160|4.505|4.51|4.51|4.5|4.5|8336|4.50012
2022-06-02T09:57:00|1654178220|4.484999999999999|4.5|4.5|4.47|4.47|200|4.485
2022-06-02T09:58:00|1654178280|4.505000000000001|4.48|4.53|4.48|4.49|2216|4.506056
2022-06-02T09:59:00|1654178340|4.48|4.49|4.5|4.46|4.485|1500|4.480667
2022-06-02T10:01:00|1654178460|4.505|4.51|4.51|4.5|4.5|984|4.502033
2022-06-02T10:08:00|1654178880|4.535|4.5|4.57|4.5|4.52|9515|4.564609
2022-06-02T10:13:00|1654179180|4.54385|4.53|4.5577|4.53|4.5577|10000|4.555761
2022-06-02T10:18:00|1654179480|4.5273|4.5273|4.5273|4.5273|4.5273|200|4.5273
2022-06-02T10:20:00|1654179600|4.4816|4.48|4.4832|4.48|4.4832|300|4.482133
2022-06-02T10:23:00|1654179780|4.50415|4.4833|4.525|4.4833|4.525|1250|4.49164
2022-06-02T10:25:00|1654179900|4.5525|4.525|4.58|4.525|4.58|900|4.531111
2022-06-02T10:26:00|1654179960|4.5651|4.5651|4.5651|4.5651|4.5651|200|4.5651
2022-06-02T10:28:00|1654180080|4.5691|4.5691|4.5691|4.5691|4.5691|665|4.5691
2022-06-02T10:29:00|1654180140|4.5|4.5|4.5|4.5|4.5|100|4.5
2022-06-02T10:30:00|1654180200|4.55245|4.5549|4.5549|4.55|4.55|370|4.552251
2022-06-02T10:36:00|1654180560|4.5799|4.5799|4.5799|4.5799|4.5799|250|4.5799
2022-06-02T10:45:00|1654181100|4.5375|4.5375|4.5375|4.5375|4.5375|300|4.5375
2022-06-02T10:53:00|1654181580|4.58|4.58|4.58|4.58|4.58|100|4.58
2022-06-02T10:54:00|1654181640|4.5|4.5|4.5|4.5|4.5|100|4.5
2022-06-02T11:05:00|1654182300|4.5286|4.5286|4.5286|4.5286|4.5286|500|4.5286
2022-06-02T11:06:00|1654182360|4.5764|4.5764|4.5764|4.5764|4.5764|1250|4.5764
2022-06-02T11:13:00|1654182780|4.57|4.57|4.57|4.57|4.57|100|4.57
2022-06-02T11:24:00|1654183440|4.6049500000000005|4.58|4.63|4.5799|4.605|4631|4.589337
2022-06-02T11:28:00|1654183680|4.64|4.64|4.64|4.64|4.64|100|4.64
2022-06-02T11:39:00|1654184340|4.6525|4.68|4.68|4.625|4.625|206|4.651699
2022-06-02T11:40:00|1654184400|4.65|4.65|4.65|4.65|4.65|2150|4.65
2022-06-02T11:48:00|1654184880|4.625|4.625|4.625|4.625|4.625|100|4.625
2022-06-02T11:54:00|1654185240|4.6|4.6|4.6|4.6|4.6|170|4.6
2022-06-02T11:56:00|1654185360|4.645|4.645|4.645|4.645|4.645|100|4.645
2022-06-02T12:03:00|1654185780|4.645|4.645|4.645|4.645|4.645|100|4.645
2022-06-02T12:11:00|1654186260|4.63|4.63|4.63|4.63|4.63|100|4.63
2022-06-02T12:12:00|1654186320|4.63|4.64|4.64|4.62|4.62|4300|4.639535
2022-06-02T12:13:00|1654186380|4.65|4.65|4.65|4.65|4.65|200|4.65
2022-06-02T12:17:00|1654186620|4.62|4.62|4.62|4.62|4.62|100|4.62
2022-06-02T12:19:00|1654186740|4.6121|4.6242|4.6242|4.6|4.6|1040|4.615423
2022-06-02T12:21:00|1654186860|4.61|4.61|4.61|4.61|4.61|600|4.61
2022-06-02T12:22:00|1654186920|4.609999999999999|4.61|4.62|4.6|4.62|666|4.61
2022-06-02T12:27:00|1654187220|4.539|4.539|4.539|4.539|4.539|985|4.539
2022-06-02T12:35:00|1654187700|4.6585|4.6585|4.6585|4.6585|4.6585|100|4.6585
2022-06-02T12:47:00|1654188420|4.59685|4.6|4.615|4.5787|4.615|7828|4.599812
2022-06-02T12:48:00|1654188480|4.63|4.63|4.63|4.63|4.63|200|4.63
2022-06-02T12:55:00|1654188900|4.65|4.67|4.67|4.63|4.63|200|4.65
