Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|34.015|34.07|34.07|33.96|33.96|8075|34.067276
2022-05-31T09:31:00|1654003860|34.144999999999996|33.97|34.33|33.96|34.33|300|34.086667
2022-05-31T09:32:00|1654003920|34.075|33.87|34.33|33.82|34.33|3601|34.023932
2022-05-31T09:33:00|1654003980|33.99|34.095|34.2|33.78|33.94|8000|33.943563
2022-05-31T09:34:00|1654004040|33.8625|33.94|33.94|33.785|33.785|15233|33.865425
2022-05-31T09:35:00|1654004100|33.3975|33.58|33.6|33.195|33.195|2253|33.422635
2022-05-31T09:36:00|1654004160|33.15|33.29|33.29|33.01|33.01|1445|33.112215
2022-05-31T09:37:00|1654004220|33.049949999999995|33.02|33.1399|32.96|32.96|2429|33.030319
2022-05-31T09:38:00|1654004280|32.9225|32.86|32.985|32.86|32.86|2100|32.929524
2022-05-31T09:39:00|1654004340|32.9825|32.945|33.02|32.945|32.96|1179|32.960267
2022-05-31T09:40:00|1654004400|32.86|32.9|32.97|32.75|32.75|600|32.864167
2022-05-31T09:41:00|1654004460|32.782|32.844|32.844|32.72|32.72|2049|32.785142
2022-05-31T09:42:00|1654004520|32.565|32.71|32.71|32.42|32.555|5102|32.588957
2022-05-31T09:43:00|1654004580|32.3925|32.48|32.5|32.285|32.285|3650|32.457671
2022-05-31T09:44:00|1654004640|32.3525|32.4|32.41|32.295|32.35|7350|32.370748
2022-05-31T09:45:00|1654004700|32.287499999999994|32.41|32.41|32.165|32.165|1548|32.278401
2022-05-31T09:46:00|1654004760|32.224999999999994|32.205|32.245|32.205|32.205|300|32.218333
2022-05-31T09:47:00|1654004820|32.285|32.205|32.39|32.18|32.33|9900|32.282323
2022-05-31T09:48:00|1654004880|32.305|32.355|32.41|32.2|32.24|5252|32.322921
2022-05-31T09:49:00|1654004940|32.3275|32.245|32.41|32.245|32.41|2106|32.301743
2022-05-31T09:50:00|1654005000|32.400000000000006|32.41|32.46|32.34|32.365|3829|32.403865
2022-05-31T09:51:00|1654005060|32.2725|32.29|32.29|32.255|32.29|700|32.280714
2022-05-31T09:52:00|1654005120|32.3|32.32|32.33|32.27|32.29|1523|32.295253
2022-05-31T09:53:00|1654005180|32.3425|32.275|32.41|32.275|32.33|10136|32.334505
2022-05-31T09:54:00|1654005240|32.364999999999995|32.33|32.4|32.33|32.39|2038|32.363378
2022-05-31T09:55:00|1654005300|32.394999999999996|32.4|32.49|32.3|32.395|11666|32.397092
2022-05-31T09:56:00|1654005360|32.415|32.4|32.48|32.35|32.47|2500|32.415
2022-05-31T09:57:00|1654005420|32.385|32.48|32.48|32.29|32.29|2335|32.382912
2022-05-31T09:58:00|1654005480|32.34|32.39|32.39|32.29|32.32|803|32.334944
2022-05-31T09:59:00|1654005540|32.2125|32.25|32.265|32.16|32.16|3056|32.216749
2022-05-31T10:00:00|1654005600|32.1|32.17|32.17|32.03|32.11|16681|32.077101
2022-05-31T10:01:00|1654005660|32.1075|32.14|32.215|32.0|32.0|5171|32.123745
2022-05-31T10:02:00|1654005720|32.055|32.02|32.1|32.01|32.035|4231|32.053646
2022-05-31T10:03:00|1654005780|32.019999999999996|32.0|32.15|31.89|32.15|16610|31.97352
2022-05-31T10:04:00|1654005840|32.129999999999995|32.13|32.18|32.08|32.135|6344|32.119697
2022-05-31T10:05:00|1654005900|32.205|32.14|32.27|32.14|32.18|2975|32.206571
2022-05-31T10:06:00|1654005960|32.235|32.21|32.26|32.21|32.215|1529|32.215232
2022-05-31T10:07:00|1654006020|32.215|32.23|32.29|32.14|32.18|2500|32.2
2022-05-31T10:08:00|1654006080|32.120000000000005|32.1|32.14|32.1|32.1|500|32.124
2022-05-31T10:09:00|1654006140|32.004999999999995|32.03|32.05|31.96|31.96|1734|32.018772
2022-05-31T10:10:00|1654006200|32.0175|31.98|32.055|31.98|32.045|1484|32.008049
2022-05-31T10:11:00|1654006260|32.125|32.05|32.21|32.04|32.17|28085|32.092058
2022-05-31T10:12:00|1654006320|32.125|32.17|32.17|32.08|32.09|1400|32.103214
2022-05-31T10:13:00|1654006380|32.11750000000001|32.1|32.145|32.09|32.145|1522|32.114087
2022-05-31T10:14:00|1654006440|32.15|32.11|32.19|32.11|32.14|4000|32.14875
2022-05-31T10:15:00|1654006500|32.17|32.18|32.28|32.06|32.06|2600|32.186673
2022-05-31T10:16:00|1654006560|32.07|32.09|32.09|32.05|32.05|600|32.0775
2022-05-31T10:17:00|1654006620|32.095|32.08|32.11|32.08|32.11|864|32.092315
2022-05-31T10:18:00|1654006680|32.175|32.16|32.19|32.16|32.17|1345|32.173346
2022-05-31T10:19:00|1654006740|32.2|32.22|32.22|32.18|32.185|1800|32.196389
2022-05-31T10:20:00|1654006800|32.205|32.185|32.225|32.185|32.19|2736|32.202918
2022-05-31T10:21:00|1654006860|32.215|32.2|32.23|32.2|32.215|1890|32.219735
2022-05-31T10:22:00|1654006920|32.165|32.22|32.22|32.11|32.11|1901|32.177117
2022-05-31T10:23:00|1654006980|32.055|32.04|32.07|32.04|32.07|1933|32.056115
