Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T06:24:00|1653992640|4.535|4.52|4.55|4.52|4.54|877|4.536739
2022-05-31T06:57:00|1653994620|4.64|4.64|4.64|4.64|4.64|100|4.64
2022-05-31T07:00:00|1653994800|4.55|4.55|4.55|4.55|4.55|154|4.55
2022-05-31T07:02:00|1653994920|4.68|4.68|4.68|4.68|4.68|100|4.68
2022-05-31T08:12:00|1653999120|4.55|4.55|4.55|4.55|4.55|500|4.55
2022-05-31T08:22:00|1653999720|4.715|4.715|4.715|4.715|4.715|600|4.715
2022-05-31T09:14:00|1654002840|4.702|4.702|4.702|4.702|4.702|113|4.702
2022-05-31T09:20:00|1654003200|4.555|4.56|4.56|4.55|4.55|200|4.555
2022-05-31T09:30:00|1654003800|4.55|4.54|4.56|4.54|4.56|14050|4.540151
2022-05-31T09:31:00|1654003860|4.6791|4.6791|4.6791|4.6791|4.6791|2000|4.6791
2022-05-31T09:33:00|1654003980|4.68|4.68|4.68|4.68|4.68|300|4.68
2022-05-31T09:36:00|1654004160|4.65255|4.6451|4.66|4.6451|4.66|1700|4.658247
2022-05-31T09:38:00|1654004280|4.625|4.63|4.63|4.62|4.62|516|4.621938
2022-05-31T09:39:00|1654004340|4.558199999999999|4.56|4.5664|4.55|4.5664|1210|4.561517
2022-05-31T09:40:00|1654004400|4.567500000000001|4.565|4.57|4.565|4.57|600|4.569167
2022-05-31T09:41:00|1654004460|4.55|4.55|4.55|4.55|4.55|800|4.55
2022-05-31T09:42:00|1654004520|4.5402000000000005|4.5504|4.5504|4.53|4.53|1380|4.535913
2022-05-31T09:43:00|1654004580|4.52|4.53|4.53|4.51|4.51|502|4.521952
2022-05-31T09:44:00|1654004640|4.515|4.52|4.52|4.51|4.51|355|4.512817
2022-05-31T09:45:00|1654004700|4.545|4.54|4.55|4.54|4.55|696|4.545747
2022-05-31T09:46:00|1654004760|4.588|4.59|4.59|4.586|4.586|1334|4.589062
2022-05-31T09:47:00|1654004820|4.609299999999999|4.5886|4.63|4.5886|4.63|1491|4.610201
2022-05-31T09:48:00|1654004880|4.615|4.63|4.63|4.6|4.6|1000|4.627
2022-05-31T09:49:00|1654004940|4.595|4.595|4.595|4.595|4.595|200|4.595
2022-05-31T09:51:00|1654005060|4.58|4.58|4.58|4.58|4.58|300|4.58
2022-05-31T09:53:00|1654005180|4.58|4.58|4.58|4.58|4.58|1461|4.58
2022-05-31T09:54:00|1654005240|4.5765|4.5803|4.5803|4.5727|4.5727|2001|4.576498
2022-05-31T09:55:00|1654005300|4.575|4.58|4.58|4.57|4.57|1561|4.572306
2022-05-31T09:56:00|1654005360|4.58|4.57|4.59|4.57|4.59|790|4.572987
2022-05-31T09:57:00|1654005420|4.58|4.58|4.58|4.58|4.58|100|4.58
2022-05-31T09:59:00|1654005540|4.5725|4.565|4.58|4.565|4.58|1827|4.575074
2022-05-31T10:00:00|1654005600|4.5961|4.5961|4.5961|4.5961|4.5961|200|4.5961
2022-05-31T10:01:00|1654005660|4.535|4.54|4.54|4.53|4.53|3800|4.539211
2022-05-31T10:02:00|1654005720|4.5225|4.52|4.525|4.52|4.52|1033|4.520939
2022-05-31T10:05:00|1654005900|4.5|4.5|4.5|4.5|4.5|581|4.5
2022-05-31T10:06:00|1654005960|4.4801|4.49|4.49|4.4702|4.4702|549|4.48275
2022-05-31T10:07:00|1654006020|4.47695|4.47|4.4839|4.47|4.4839|857|4.475525
2022-05-31T10:08:00|1654006080|4.4862|4.4862|4.4862|4.4862|4.4862|112|4.4862
2022-05-31T10:09:00|1654006140|4.465|4.465|4.465|4.465|4.465|111|4.465
2022-05-31T10:11:00|1654006260|4.45|4.45|4.45|4.45|4.45|409|4.45
2022-05-31T10:12:00|1654006320|4.4799|4.4799|4.4799|4.4799|4.4799|140|4.4799
2022-05-31T10:13:00|1654006380|4.4725|4.465|4.48|4.465|4.48|1294|4.471886
2022-05-31T10:14:00|1654006440|4.4875|4.475|4.5|4.475|4.5|443|4.485327
2022-05-31T10:16:00|1654006560|4.5|4.5|4.5|4.5|4.5|500|4.5
2022-05-31T10:18:00|1654006680|4.49985|4.5|4.5|4.4997|4.5|630|4.499905
2022-05-31T10:20:00|1654006800|4.525|4.53|4.53|4.52|4.52|450|4.527739
2022-05-31T10:22:00|1654006920|4.52|4.52|4.52|4.52|4.52|1000|4.52
2022-05-31T10:23:00|1654006980|4.52|4.52|4.52|4.52|4.52|132|4.52
2022-05-31T10:25:00|1654007100|4.52|4.52|4.52|4.52|4.52|100|4.52
2022-05-31T10:28:00|1654007280|4.54|4.54|4.54|4.54|4.54|777|4.54
2022-05-31T10:29:00|1654007340|4.51|4.52|4.53|4.49|4.49|9748|4.503827
2022-05-31T10:31:00|1654007460|4.53|4.53|4.53|4.53|4.53|176|4.53
2022-05-31T10:32:00|1654007520|4.515000000000001|4.52|4.53|4.5|4.5|6659|4.516813
2022-05-31T10:33:00|1654007580|4.5|4.5|4.5|4.5|4.5|150|4.5
2022-05-31T10:35:00|1654007700|4.5096|4.5|4.5192|4.5|4.5|6432|4.500663
2022-05-31T10:37:00|1654007820|4.51|4.51|4.51|4.51|4.51|100|4.51
2022-05-31T10:38:00|1654007880|4.52|4.52|4.52|4.52|4.52|100|4.52
2022-05-31T10:39:00|1654007940|4.5600000000000005|4.548|4.58|4.54|4.58|2732|4.561827
2022-05-31T10:40:00|1654008000|4.59585|4.5917|4.6|4.5917|4.6|1477|4.596066
2022-05-31T10:42:00|1654008120|4.595|4.595|4.595|4.595|4.595|500|4.595
2022-05-31T10:43:00|1654008180|4.6295|4.6295|4.6295|4.6295|4.6295|217|4.6295
2022-05-31T10:44:00|1654008240|4.619999999999999|4.6|4.64|4.6|4.6031|2910|4.616553
2022-05-31T10:46:00|1654008360|4.615|4.61|4.62|4.61|4.62|1031|4.611494
2022-05-31T10:47:00|1654008420|4.62|4.62|4.62|4.62|4.62|200|4.62
2022-05-31T10:48:00|1654008480|4.615|4.615|4.615|4.615|4.615|300|4.615
2022-05-31T10:49:00|1654008540|4.6107|4.6107|4.6107|4.6107|4.6107|300|4.6107
2022-05-31T10:50:00|1654008600|4.595|4.6|4.6|4.59|4.59|1087|4.594296
2022-05-31T10:54:00|1654008840|4.63|4.63|4.63|4.63|4.63|109|4.63
2022-05-31T10:55:00|1654008900|4.64|4.64|4.64|4.64|4.64|690|4.64
2022-05-31T10:56:00|1654008960|4.64|4.64|4.64|4.64|4.64|203|4.64
2022-05-31T10:57:00|1654009020|4.6399|4.6399|4.6399|4.6399|4.6399|700|4.6399
2022-05-31T10:58:00|1654009080|4.6363|4.6326|4.64|4.6326|4.64|1877|4.636058
2022-05-31T10:59:00|1654009140|4.65|4.65|4.65|4.65|4.65|500|4.65
2022-05-31T11:01:00|1654009260|4.65|4.65|4.65|4.65|4.65|100|4.65
2022-05-31T11:02:00|1654009320|4.65|4.65|4.65|4.65|4.65|925|4.65
2022-05-31T11:04:00|1654009440|4.656|4.656|4.656|4.656|4.656|700|4.656
2022-05-31T11:07:00|1654009620|4.6452|4.6452|4.6452|4.6452|4.6452|100|4.6452
2022-05-31T11:08:00|1654009680|4.62|4.62|4.62|4.62|4.62|100|4.62
2022-05-31T11:14:00|1654010040|4.62|4.62|4.62|4.62|4.62|100|4.62
2022-05-31T11:15:00|1654010100|4.62|4.62|4.62|4.62|4.62|439|4.62
2022-05-31T11:16:00|1654010160|4.63|4.63|4.63|4.63|4.63|100|4.63
2022-05-31T11:19:00|1654010340|4.63|4.63|4.63|4.63|4.63|100|4.63
2022-05-31T11:21:00|1654010460|4.625|4.62|4.63|4.62|4.63|7090|4.628008
2022-05-31T11:28:00|1654010880|4.595|4.6|4.6|4.59|4.59|200|4.595
2022-05-31T11:30:00|1654011000|4.57005|4.57|4.5701|4.57|4.5701|2814|4.57005
2022-05-31T11:31:00|1654011060|4.567500000000001|4.57|4.57|4.565|4.5674|1674|4.568769
2022-05-31T11:33:00|1654011180|4.589|4.58|4.598|4.58|4.598|540|4.59
2022-05-31T11:36:00|1654011360|4.57|4.57|4.57|4.57|4.57|100|4.57
2022-05-31T11:38:00|1654011480|4.59|4.59|4.59|4.59|4.59|310|4.59
2022-05-31T11:39:00|1654011540|4.59|4.59|4.59|4.59|4.59|437|4.59
2022-05-31T11:40:00|1654011600|4.6|4.6|4.6|4.6|4.6|100|4.6
2022-05-31T11:41:00|1654011660|4.59|4.6|4.6|4.58|4.58|1217|4.593591
2022-05-31T11:43:00|1654011780|4.57|4.57|4.57|4.57|4.57|300|4.57
2022-05-31T11:45:00|1654011900|4.57|4.57|4.57|4.57|4.57|283|4.57
2022-05-31T11:47:00|1654012020|4.59|4.59|4.59|4.59|4.59|530|4.59
2022-05-31T11:48:00|1654012080|4.605|4.59|4.62|4.59|4.62|400|4.6075
2022-05-31T11:49:00|1654012140|4.6|4.6|4.6|4.6|4.6|1421|4.6
2022-05-31T11:52:00|1654012320|4.615|4.62|4.62|4.61|4.61|1462|4.610684
2022-05-31T11:54:00|1654012440|4.63|4.63|4.63|4.63|4.63|500|4.63
2022-05-31T11:57:00|1654012620|4.635|4.6301|4.64|4.63|4.63|1950|4.631333
2022-05-31T11:59:00|1654012740|4.63|4.63|4.63|4.63|4.63|1198|4.63
2022-05-31T12:00:00|1654012800|4.64|4.64|4.64|4.64|4.64|300|4.64
2022-05-31T12:03:00|1654012980|4.66|4.66|4.66|4.66|4.66|1347|4.66
2022-05-31T12:05:00|1654013100|4.65|4.65|4.65|4.65|4.65|253|4.65
2022-05-31T12:06:00|1654013160|4.64|4.64|4.64|4.64|4.64|984|4.64
2022-05-31T12:07:00|1654013220|4.66|4.65|4.67|4.65|4.65|783|4.654674
2022-05-31T12:08:00|1654013280|4.65075|4.65|4.6515|4.65|4.6515|1100|4.651364
2022-05-31T12:09:00|1654013340|4.66|4.66|4.66|4.66|4.66|100|4.66
2022-05-31T12:12:00|1654013520|4.6783|4.6783|4.6783|4.6783|4.6783|220|4.6783
2022-05-31T12:13:00|1654013580|4.67005|4.6601|4.68|4.6601|4.6692|1725|4.675613
2022-05-31T12:15:00|1654013700|4.6598|4.6598|4.6598|4.6598|4.6598|100|4.6598
2022-05-31T12:17:00|1654013820|4.6525|4.655|4.655|4.65|4.65|1358|4.653682
2022-05-31T12:20:00|1654014000|4.6425|4.6426|4.645|4.64|4.64|1192|4.641872
2022-05-31T12:27:00|1654014420|4.65245|4.6349|4.67|4.6349|4.67|1769|4.642595
2022-05-31T12:28:00|1654014480|4.64|4.64|4.64|4.64|4.64|900|4.64
2022-05-31T12:29:00|1654014540|4.65|4.65|4.65|4.65|4.65|600|4.65
2022-05-31T12:30:00|1654014600|4.645|4.65|4.65|4.64|4.64|1493|4.643349
2022-05-31T12:31:00|1654014660|4.66|4.66|4.66|4.66|4.66|100|4.66
2022-05-31T12:35:00|1654014900|4.67|4.67|4.67|4.67|4.67|200|4.67
2022-05-31T12:37:00|1654015020|4.655|4.66|4.66|4.65|4.65|525|4.65381
2022-05-31T12:43:00|1654015380|4.665|4.66|4.67|4.66|4.67|439|4.667722
2022-05-31T12:44:00|1654015440|4.6781|4.6781|4.6781|4.6781|4.6781|800|4.6781
2022-05-31T12:46:00|1654015560|4.6608|4.6608|4.6608|4.6608|4.6608|300|4.6608
2022-05-31T12:47:00|1654015620|4.6519|4.6519|4.6519|4.6519|4.6519|300|4.6519
2022-05-31T12:51:00|1654015860|4.6548|4.6596|4.6596|4.65|4.65|936|4.655128
2022-05-31T12:54:00|1654016040|4.65|4.65|4.65|4.65|4.65|185|4.65
2022-05-31T12:59:00|1654016340|4.64|4.64|4.64|4.64|4.64|258|4.64
2022-05-31T13:03:00|1654016580|4.6112|4.6112|4.6112|4.6112|4.6112|300|4.6112
2022-05-31T13:06:00|1654016760|4.64|4.64|4.64|4.64|4.64|100|4.64
2022-05-31T13:07:00|1654016820|4.637499999999999|4.64|4.64|4.635|4.64|534|4.638127
2022-05-31T13:12:00|1654017120|4.635|4.64|4.64|4.63|4.63|2900|4.637241
2022-05-31T13:13:00|1654017180|4.6392|4.6392|4.6392|4.6392|4.6392|800|4.6392
2022-05-31T13:14:00|1654017240|4.6392|4.6392|4.6392|4.6392|4.6392|200|4.6392
2022-05-31T13:15:00|1654017300|4.609999999999999|4.62|4.62|4.6|4.6|1000|4.613
2022-05-31T13:17:00|1654017420|4.6000499999999995|4.6|4.6001|4.6|4.6001|1100|4.600091
2022-05-31T13:18:00|1654017480|4.6|4.6|4.6|4.6|4.6|100|4.6
2022-05-31T13:19:00|1654017540|4.59|4.59|4.59|4.59|4.59|1259|4.59
2022-05-31T13:20:00|1654017600|4.59|4.59|4.59|4.59|4.59|200|4.59
2022-05-31T13:21:00|1654017660|4.585|4.59|4.59|4.58|4.58|410|4.586317
2022-05-31T13:22:00|1654017720|4.575|4.575|4.58|4.57|4.57|5905|4.574666
2022-05-31T13:23:00|1654017780|4.56|4.56|4.56|4.56|4.56|400|4.56
2022-05-31T13:24:00|1654017840|4.56|4.56|4.56|4.56|4.56|300|4.56
2022-05-31T13:25:00|1654017900|4.56|4.56|4.56|4.56|4.56|1584|4.56
2022-05-31T13:27:00|1654018020|4.57|4.57|4.57|4.57|4.57|111|4.57
2022-05-31T13:28:00|1654018080|4.55|4.56|4.56|4.54|4.54|1500|4.553433
2022-05-31T13:29:00|1654018140|4.5649999999999995|4.55|4.58|4.55|4.58|5500|4.569136
2022-05-31T13:30:00|1654018200|4.579|4.579|4.579|4.579|4.579|101|4.579
2022-05-31T13:31:00|1654018260|4.56|4.56|4.56|4.56|4.56|350|4.56
