Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|70.11|69.62|70.6|69.62|70.6|1738|69.676387
2022-05-31T09:34:00|1654004040|69.9325|69.885|69.98|69.885|69.98|3600|69.887639
2022-05-31T09:35:00|1654004100|69.91|69.48|70.34|69.48|70.34|200|69.91
2022-05-31T09:36:00|1654004160|69.8325|69.82|69.845|69.82|69.845|200|69.8325
2022-05-31T09:38:00|1654004280|70.095|70.19|70.19|70.0|70.0|500|70.042
2022-05-31T09:39:00|1654004340|70.12|70.12|70.12|70.12|70.12|200|70.12
2022-05-31T09:40:00|1654004400|69.66|69.66|69.66|69.66|69.66|600|69.66
2022-05-31T09:43:00|1654004580|69.565|69.49|69.64|69.49|69.64|600|69.515
2022-05-31T09:45:00|1654004700|69.51|69.51|69.51|69.51|69.51|101|69.51
2022-05-31T09:54:00|1654005240|69.6675|69.495|69.84|69.495|69.84|3236|69.622874
2022-05-31T09:57:00|1654005420|69.7025|69.765|69.765|69.64|69.645|800|69.66875
2022-05-31T09:58:00|1654005480|69.64|69.65|69.73|69.55|69.73|1607|69.567424
2022-05-31T09:59:00|1654005540|69.47999999999999|69.52|69.52|69.44|69.485|700|69.492143
2022-05-31T10:00:00|1654005600|69.43|69.43|69.43|69.43|69.43|100|69.43
2022-05-31T10:01:00|1654005660|69.55875|69.53|69.5875|69.53|69.5875|228|69.562281
2022-05-31T10:02:00|1654005720|69.475|69.475|69.475|69.475|69.475|100|69.475
2022-05-31T10:03:00|1654005780|69.45|69.45|69.45|69.45|69.45|100|69.45
2022-05-31T10:04:00|1654005840|69.33|69.35|69.35|69.31|69.31|542|69.323026
2022-05-31T10:09:00|1654006140|69.2|69.2|69.2|69.2|69.2|100|69.2
2022-05-31T10:10:00|1654006200|69.185|69.19|69.19|69.18|69.18|460|69.183304
2022-05-31T10:11:00|1654006260|69.18|69.19|69.25|69.11|69.25|1737|69.162942
2022-05-31T10:12:00|1654006320|69.11|69.21|69.22|69.0|69.18|2841|69.108965
2022-05-31T10:13:00|1654006380|69.12|69.12|69.12|69.12|69.12|200|69.12
2022-05-31T10:14:00|1654006440|69.19999999999999|69.2|69.27|69.13|69.27|500|69.192
2022-05-31T10:15:00|1654006500|69.2|69.2|69.2|69.2|69.2|100|69.2
2022-05-31T10:16:00|1654006560|69.235|69.27|69.27|69.2|69.2|200|69.235
2022-05-31T10:18:00|1654006680|69.25|69.25|69.25|69.25|69.25|200|69.25
2022-05-31T10:19:00|1654006740|69.36|69.36|69.36|69.36|69.36|100|69.36
2022-05-31T10:20:00|1654006800|69.7225|69.72|69.755|69.69|69.69|1000|69.7155
2022-05-31T10:21:00|1654006860|69.73750000000001|69.77|69.775|69.7|69.7|700|69.741429
2022-05-31T10:22:00|1654006920|69.77|69.77|69.77|69.77|69.77|100|69.77
2022-05-31T10:23:00|1654006980|69.76|69.76|69.76|69.76|69.76|100|69.76
2022-05-31T10:24:00|1654007040|69.755|69.67|69.84|69.67|69.84|1203|69.752544
2022-05-31T10:25:00|1654007100|69.77|69.77|69.77|69.77|69.77|100|69.77
2022-05-31T10:26:00|1654007160|70.01|70.01|70.01|70.01|70.01|100|70.01
2022-05-31T10:27:00|1654007220|69.92500000000001|70.01|70.01|69.84|69.84|2994|69.943661
2022-05-31T10:28:00|1654007280|69.82|69.82|69.82|69.82|69.82|100|69.82
2022-05-31T10:29:00|1654007340|69.685|69.71|69.71|69.66|69.66|700|69.687143
2022-05-31T10:31:00|1654007460|69.75999999999999|69.8|69.81|69.71|69.71|1522|69.769777
2022-05-31T10:32:00|1654007520|69.66499999999999|69.7|69.7|69.63|69.69|1000|69.671
2022-05-31T10:33:00|1654007580|69.6|69.63|69.63|69.57|69.57|503|69.6
2022-05-31T10:34:00|1654007640|69.4825|69.57|69.59|69.375|69.375|1573|69.492899
2022-05-31T10:35:00|1654007700|69.32|69.27|69.37|69.27|69.37|900|69.318889
