Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|12.85|12.76|12.94|12.76|12.94|5805|12.764031
2022-05-31T09:36:00|1654004160|12.57|12.57|12.57|12.57|12.57|450|12.57
2022-05-31T09:39:00|1654004340|12.5|12.5|12.5|12.5|12.5|525|12.5
2022-05-31T09:40:00|1654004400|12.465|12.5|12.5|12.43|12.43|1681|12.467204
2022-05-31T09:42:00|1654004520|12.43|12.4|12.46|12.4|12.46|1950|12.426067
2022-05-31T09:45:00|1654004700|12.535|12.51|12.56|12.51|12.56|603|12.530962
2022-05-31T09:46:00|1654004760|12.545|12.58|12.58|12.51|12.51|500|12.536
2022-05-31T09:47:00|1654004820|12.54|12.54|12.54|12.54|12.54|242|12.54
2022-05-31T09:49:00|1654004940|12.51|12.52|12.52|12.5|12.51|668|12.505988
2022-05-31T09:50:00|1654005000|12.46|12.46|12.46|12.46|12.46|699|12.46
2022-05-31T09:52:00|1654005120|12.455|12.455|12.455|12.455|12.455|126|12.455
2022-05-31T09:53:00|1654005180|12.445|12.43|12.46|12.43|12.46|423|12.438723
2022-05-31T09:55:00|1654005300|12.4775|12.465|12.49|12.465|12.49|600|12.473333
2022-05-31T09:58:00|1654005480|12.52|12.5|12.54|12.5|12.54|200|12.52
2022-05-31T10:01:00|1654005660|12.5|12.5|12.5|12.5|12.5|136|12.5
2022-05-31T10:02:00|1654005720|12.52|12.52|12.52|12.52|12.52|100|12.52
2022-05-31T10:03:00|1654005780|12.53|12.53|12.53|12.53|12.53|300|12.53
2022-05-31T10:04:00|1654005840|12.524999999999999|12.53|12.53|12.52|12.52|267|12.524382
2022-05-31T10:06:00|1654005960|12.49|12.49|12.49|12.49|12.49|100|12.49
2022-05-31T10:07:00|1654006020|12.495000000000001|12.5|12.5|12.49|12.49|243|12.495885
2022-05-31T10:08:00|1654006080|12.45|12.49|12.49|12.41|12.41|2100|12.433333
2022-05-31T10:09:00|1654006140|12.43|12.43|12.43|12.43|12.43|165|12.43
2022-05-31T10:10:00|1654006200|12.43|12.43|12.43|12.43|12.43|100|12.43
2022-05-31T10:12:00|1654006320|12.4|12.4|12.4|12.4|12.4|154|12.4
2022-05-31T10:13:00|1654006380|12.4575|12.45|12.465|12.45|12.465|496|12.453024
2022-05-31T10:16:00|1654006560|12.5425|12.54|12.545|12.54|12.545|232|12.542155
2022-05-31T10:17:00|1654006620|12.53|12.54|12.54|12.52|12.52|537|12.523724
2022-05-31T10:18:00|1654006680|12.545|12.54|12.55|12.54|12.55|200|12.545
2022-05-31T10:20:00|1654006800|12.59|12.59|12.59|12.59|12.59|100|12.59
2022-05-31T10:23:00|1654006980|12.620000000000001|12.64|12.64|12.6|12.63|2283|12.617661
2022-05-31T10:24:00|1654007040|12.61|12.6|12.62|12.6|12.62|300|12.606667
2022-05-31T10:27:00|1654007220|12.58|12.59|12.6|12.56|12.57|1156|12.581436
2022-05-31T10:28:00|1654007280|12.55|12.55|12.55|12.55|12.55|100|12.55
2022-05-31T10:31:00|1654007460|12.56|12.56|12.56|12.56|12.56|101|12.56
2022-05-31T10:32:00|1654007520|12.62|12.62|12.62|12.62|12.62|472|12.62
2022-05-31T10:33:00|1654007580|12.6|12.61|12.61|12.59|12.59|300|12.596667
2022-05-31T10:37:00|1654007820|12.55|12.55|12.55|12.55|12.55|200|12.55
2022-05-31T10:40:00|1654008000|12.54|12.54|12.54|12.54|12.54|100|12.54
2022-05-31T10:41:00|1654008060|12.58|12.57|12.59|12.57|12.58|920|12.58
2022-05-31T10:46:00|1654008360|12.63|12.63|12.63|12.63|12.63|100|12.63
2022-05-31T10:47:00|1654008420|12.6|12.62|12.62|12.58|12.58|634|12.6
2022-05-31T10:49:00|1654008540|12.563500000000001|12.567|12.567|12.56|12.56|306|12.562425
2022-05-31T10:50:00|1654008600|12.55|12.54|12.56|12.54|12.56|700|12.544286
2022-05-31T10:56:00|1654008960|12.5525|12.55|12.555|12.55|12.555|861|12.550633
2022-05-31T10:57:00|1654009020|12.535|12.54|12.54|12.53|12.53|334|12.535988
2022-05-31T11:00:00|1654009200|12.565000000000001|12.56|12.57|12.56|12.57|469|12.566397
2022-05-31T11:02:00|1654009320|12.56|12.56|12.56|12.56|12.56|688|12.56
2022-05-31T11:05:00|1654009500|12.55|12.56|12.57|12.53|12.535|1014|12.551479
2022-05-31T11:06:00|1654009560|12.53|12.53|12.53|12.53|12.53|338|12.53
2022-05-31T11:07:00|1654009620|12.515|12.52|12.52|12.51|12.51|411|12.515474
2022-05-31T11:08:00|1654009680|12.46|12.46|12.46|12.46|12.46|100|12.46
2022-05-31T11:11:00|1654009860|12.47|12.47|12.47|12.47|12.47|100|12.47
2022-05-31T11:14:00|1654010040|12.4525|12.45|12.455|12.45|12.45|400|12.45125
2022-05-31T11:15:00|1654010100|12.46|12.46|12.46|12.46|12.46|300|12.46
2022-05-31T11:18:00|1654010280|12.44015|12.4403|12.4403|12.44|12.44|1782|12.440226
2022-05-31T11:21:00|1654010460|12.4224|12.4224|12.4224|12.4224|12.4224|147|12.4224
2022-05-31T11:22:00|1654010520|12.44|12.43|12.45|12.43|12.442|419|12.437637
2022-05-31T11:24:00|1654010640|12.42|12.43|12.43|12.41|12.41|2023|12.418517
