Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|4.3|4.3|4.3|4.3|4.3|221|4.3
2022-05-31T09:49:00|1654004940|4.4|4.4|4.4|4.4|4.4|2996|4.4
2022-05-31T09:52:00|1654005120|4.4|4.4|4.4|4.4|4.4|2104|4.4
2022-05-31T09:54:00|1654005240|4.4|4.4|4.4|4.4|4.4|1000|4.4
2022-05-31T09:55:00|1654005300|4.44|4.44|4.44|4.44|4.44|202|4.44
2022-05-31T10:00:00|1654005600|4.4|4.4|4.4|4.4|4.4|5450|4.4
2022-05-31T10:01:00|1654005660|4.395|4.39|4.4|4.39|4.4|300|4.396667
2022-05-31T10:04:00|1654005840|4.37|4.37|4.37|4.37|4.37|100|4.37
2022-05-31T10:08:00|1654006080|4.4|4.4|4.4|4.4|4.4|300|4.4
2022-05-31T10:23:00|1654006980|4.37|4.37|4.37|4.37|4.37|100|4.37
2022-05-31T10:26:00|1654007160|4.337400000000001|4.34|4.3448|4.33|4.3448|3189|4.340523
2022-05-31T10:45:00|1654008300|4.39|4.39|4.39|4.39|4.39|100|4.39
2022-05-31T11:01:00|1654009260|4.365|4.365|4.365|4.365|4.365|100|4.365
2022-05-31T11:08:00|1654009680|4.365|4.365|4.365|4.365|4.365|200|4.365
2022-05-31T11:13:00|1654009980|4.33|4.33|4.33|4.33|4.33|499|4.33
2022-05-31T11:23:00|1654010580|4.32|4.32|4.32|4.32|4.32|1000|4.32
2022-05-31T11:24:00|1654010640|4.32|4.32|4.32|4.32|4.32|3940|4.32
2022-05-31T11:25:00|1654010700|4.29|4.2899|4.3|4.28|4.3|7900|4.290253
2022-05-31T11:26:00|1654010760|4.33|4.32|4.34|4.32|4.33|1175|4.325957
2022-05-31T11:27:00|1654010820|4.32|4.34|4.34|4.3|4.3|2699|4.306743
2022-05-31T11:28:00|1654010880|4.295|4.31|4.31|4.28|4.28|600|4.291667
2022-05-31T11:29:00|1654010940|4.295|4.29|4.32|4.27|4.27|4690|4.274716
2022-05-31T11:30:00|1654011000|4.285|4.29|4.29|4.28|4.28|5705|4.280666
2022-05-31T11:31:00|1654011060|4.265000000000001|4.28|4.28|4.25|4.26|6533|4.265896
2022-05-31T11:32:00|1654011120|4.235|4.23|4.24|4.23|4.24|600|4.236667
2022-05-31T11:33:00|1654011180|4.255|4.23|4.3|4.21|4.29|7112|4.266677
2022-05-31T11:34:00|1654011240|4.284800000000001|4.28|4.29|4.2796|4.29|4475|4.282094
2022-05-31T11:35:00|1654011300|4.32005|4.2901|4.35|4.2901|4.31|3350|4.31291
2022-05-31T11:36:00|1654011360|4.31005|4.32|4.3201|4.3|4.32|6491|4.314528
2022-05-31T11:37:00|1654011420|4.31|4.31|4.31|4.31|4.31|500|4.31
2022-05-31T11:39:00|1654011540|4.3|4.3|4.3|4.3|4.3|697|4.3
2022-05-31T11:42:00|1654011720|4.307499999999999|4.305|4.31|4.305|4.31|700|4.309286
2022-05-31T11:43:00|1654011780|4.31975|4.32|4.32|4.3195|4.32|400|4.319875
2022-05-31T11:44:00|1654011840|4.3197|4.32|4.32|4.3194|4.32|1300|4.319923
2022-05-31T11:45:00|1654011900|4.32|4.32|4.32|4.32|4.32|100|4.32
2022-05-31T11:46:00|1654011960|4.32|4.32|4.32|4.32|4.32|100|4.32
2022-05-31T11:58:00|1654012680|4.31|4.31|4.31|4.31|4.31|100|4.31
2022-05-31T12:05:00|1654013100|4.31|4.31|4.31|4.31|4.31|100|4.31
2022-05-31T12:11:00|1654013460|4.31|4.31|4.31|4.31|4.31|100|4.31
2022-05-31T12:16:00|1654013760|4.3408999999999995|4.33|4.3518|4.33|4.33|1347|4.34209
2022-05-31T12:17:00|1654013820|4.33|4.33|4.33|4.33|4.33|100|4.33
2022-05-31T12:18:00|1654013880|4.32|4.34|4.34|4.3|4.3|1338|4.322934
2022-05-31T12:19:00|1654013940|4.32|4.32|4.32|4.32|4.32|500|4.32
2022-05-31T12:20:00|1654014000|4.32|4.32|4.32|4.32|4.32|100|4.32
2022-05-31T12:21:00|1654014060|4.315|4.315|4.315|4.315|4.315|200|4.315
