Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T10:36:00|1654007760|0.4|0.4|0.4|0.4|0.4|200|0.4
2022-05-31T12:06:00|1654013160|0.2204|0.2204|0.2204|0.2204|0.2204|100|0.2204
2022-05-31T12:07:00|1654013220|0.23220000000000002|0.2343|0.2634|0.201|0.2634|1000|0.24099
2022-05-31T12:08:00|1654013280|0.28305|0.2303|0.3358|0.2303|0.3358|1500|0.2756467
2022-05-31T12:09:00|1654013340|0.3458|0.3458|0.3458|0.3458|0.3458|300|0.3458
2022-05-31T12:10:00|1654013400|0.36234999999999995|0.3707|0.3707|0.354|0.354|800|0.358175
2022-05-31T12:11:00|1654013460|0.371|0.354|0.388|0.354|0.388|500|0.3608
2022-05-31T12:12:00|1654013520|0.3448|0.3448|0.3448|0.3448|0.3448|300|0.3448
2022-05-31T12:13:00|1654013580|0.3475|0.3448|0.3611|0.3339|0.3339|700|0.3455714
2022-05-31T12:16:00|1654013760|0.3448|0.3448|0.3448|0.3448|0.3448|100|0.3448
2022-05-31T12:17:00|1654013820|0.3448|0.3448|0.3448|0.3448|0.3448|200|0.3448
2022-05-31T15:10:00|1654024200|0.2782|0.2782|0.2782|0.2782|0.2782|100|0.2782
2022-05-31T15:11:00|1654024260|0.2637|0.2444|0.283|0.2444|0.283|1300|0.2707769
2022-05-31T15:12:00|1654024320|0.27495|0.2669|0.283|0.2669|0.283|700|0.2774571
2022-05-31T15:13:00|1654024380|0.3418|0.3339|0.3497|0.3339|0.3339|300|0.3391667
2022-05-31T15:14:00|1654024440|0.325|0.3276|0.3276|0.3224|0.3224|200|0.325
2022-05-31T15:15:00|1654024500|0.3518|0.3276|0.376|0.3276|0.376|300|0.3598667
2022-05-31T15:16:00|1654024560|0.3609|0.396|0.396|0.3258|0.3276|900|0.3386444
2022-05-31T15:17:00|1654024620|0.3327|0.3276|0.343|0.3224|0.3276|700|0.331
2022-06-01T11:03:00|1654095780|0.2766|0.2576|0.3099|0.2433|0.2433|2400|0.2778375
2022-06-01T11:04:00|1654095840|0.3|0.3|0.3|0.3|0.3|100|0.3
2022-06-01T11:11:00|1654096260|0.36905|0.387|0.387|0.3511|0.353|900|0.3657667
2022-06-01T11:12:00|1654096320|0.353|0.353|0.353|0.353|0.353|600|0.353
2022-06-01T11:13:00|1654096380|0.353|0.353|0.353|0.353|0.353|600|0.353
2022-06-01T11:14:00|1654096440|0.353|0.353|0.353|0.353|0.353|400|0.353
2022-06-01T15:21:00|1654111260|0.385|0.37|0.4|0.37|0.394|400|0.390875
2022-06-01T15:28:00|1654111680|0.394|0.394|0.394|0.394|0.394|200|0.394
2022-06-01T15:37:00|1654112220|0.394|0.394|0.394|0.394|0.394|100|0.394
2022-06-01T15:38:00|1654112280|0.394|0.394|0.394|0.394|0.394|100|0.394
2022-06-01T15:45:00|1654112700|0.394|0.394|0.394|0.394|0.394|100|0.394
2022-06-01T15:49:00|1654112940|0.394|0.394|0.394|0.394|0.394|100|0.394
2022-06-02T13:09:00|1654189740|0.2663|0.241|0.2916|0.241|0.2916|1200|0.2682333
2022-06-02T14:19:00|1654193940|0.279|0.279|0.279|0.279|0.279|400|0.279
2022-06-02T14:20:00|1654194000|0.289|0.289|0.289|0.289|0.289|300|0.289
2022-06-02T15:26:00|1654197960|0.23|0.23|0.23|0.23|0.23|500|0.23
2022-06-02T15:37:00|1654198620|0.28|0.28|0.28|0.28|0.28|297|0.28
2022-06-03T09:54:00|1654264440|0.28|0.28|0.28|0.28|0.28|200|0.28
2022-06-03T09:57:00|1654264620|0.46|0.46|0.46|0.46|0.46|100|0.46
2022-06-03T12:30:00|1654273800|0.2513|0.232|0.2706|0.232|0.24|2250|0.2485911
2022-06-03T12:31:00|1654273860|0.26375000000000004|0.2737|0.2737|0.2538|0.26|600|0.2630667
2022-06-03T13:03:00|1654275780|0.2933|0.2933|0.2933|0.2933|0.2933|1400|0.2933
2022-06-03T13:19:00|1654276740|0.30395|0.2933|0.3146|0.2933|0.3146|500|0.30606
2022-06-03T13:20:00|1654276800|0.3473|0.3146|0.38|0.3146|0.38|400|0.3473
2022-06-03T13:23:00|1654276980|0.38|0.38|0.38|0.38|0.38|100|0.38
2022-06-03T13:43:00|1654278180|0.38|0.38|0.38|0.38|0.38|100|0.38
2022-06-03T13:56:00|1654278960|0.39|0.38|0.4|0.38|0.4|800|0.3925
2022-06-03T13:58:00|1654279080|0.38055|0.3611|0.4|0.3611|0.4|700|0.3891571
2022-06-03T13:59:00|1654279140|0.3973|0.4096|0.4096|0.385|0.3891|1300|0.3976154
2022-06-03T14:00:00|1654279200|0.40215|0.4112|0.4178|0.3865|0.4|1500|0.39952
2022-06-03T14:16:00|1654280160|0.40525|0.4096|0.4178|0.3927|0.3927|600|0.4052833
2022-06-03T14:17:00|1654280220|0.40525|0.4178|0.4178|0.3927|0.3969|500|0.40442
2022-06-03T14:35:00|1654281300|0.27725|0.2631|0.2914|0.2631|0.2914|600|0.2786167
2022-06-03T14:36:00|1654281360|0.274|0.2631|0.2977|0.2503|0.2977|1900|0.2672789
2022-06-03T14:37:00|1654281420|0.2963|0.252|0.3406|0.252|0.3406|1300|0.3060462
2022-06-03T14:38:00|1654281480|0.38534999999999997|0.39|0.39|0.3807|0.3807|200|0.38535
2022-06-03T14:39:00|1654281540|0.3786|0.3786|0.3786|0.3786|0.3786|100|0.3786
2022-06-03T14:48:00|1654282080|0.36365000000000003|0.372|0.372|0.3553|0.3553|200|0.36365
