Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:30:00|1654003800|3.25|3.25|3.25|3.25|3.25|226|3.25
2022-05-31T10:26:00|1654007160|3.065|3.065|3.065|3.065|3.065|324|3.065
2022-05-31T10:57:00|1654009020|3.05|3.05|3.05|3.05|3.05|300|3.05
2022-05-31T11:16:00|1654010160|3.1561|3.1561|3.1561|3.1561|3.1561|100|3.1561
2022-06-01T09:47:00|1654091220|2.9736|2.9736|2.9736|2.9736|2.9736|325|2.9736
2022-06-01T13:34:00|1654104840|3.10005|3.1|3.1001|3.1|3.1001|200|3.10005
2022-06-01T14:19:00|1654107540|3.1438|3.1438|3.1438|3.1438|3.1438|200|3.1438
2022-06-01T14:30:00|1654108200|3.125|3.125|3.125|3.125|3.125|200|3.125
2022-06-01T14:42:00|1654108920|3.1484|3.1484|3.1484|3.1484|3.1484|188|3.1484
2022-06-02T09:30:00|1654176600|3.15|3.15|3.15|3.15|3.15|963|3.15
2022-06-02T09:57:00|1654178220|3.14|3.14|3.14|3.14|3.14|252|3.14
2022-06-02T10:00:00|1654178400|3.105|3.11|3.11|3.1|3.1|300|3.103333
2022-06-02T10:03:00|1654178580|3.1090999999999998|3.1|3.1182|3.1|3.1182|985|3.101866
2022-06-02T12:44:00|1654188240|3.1393|3.1393|3.1393|3.1393|3.1393|200|3.1393
2022-06-03T10:50:00|1654267800|3.0501|3.0501|3.0501|3.0501|3.0501|103|3.0501
2022-06-03T10:55:00|1654268100|3.0564|3.0564|3.0564|3.0564|3.0564|500|3.0564
2022-06-03T13:06:00|1654275960|3.0604|3.0604|3.0604|3.0604|3.0604|138|3.0604
2022-06-03T14:12:00|1654279920|3.0875000000000004|3.075|3.1|3.075|3.1|412|3.093932
2022-06-03T14:32:00|1654281120|3.095|3.095|3.095|3.095|3.095|100|3.095
2022-06-03T15:44:00|1654285440|3.145|3.15|3.15|3.14|3.15|400|3.1475
