Time|TimeStamp|Price|Open|High|Low|Close|Volume|Volume Weight Avg Price
2022-05-31T09:13:00|1654002780|80.52|80.52|80.52|80.52|80.52|20612|80.52
2022-05-31T09:30:00|1654003800|80.985|80.75|81.22|80.75|80.8|7279|80.780018
2022-05-31T09:31:00|1654003860|80.66|80.625|80.79|80.53|80.79|700|80.602857
2022-05-31T09:32:00|1654003920|80.405|80.58|80.58|80.23|80.405|1766|80.339751
2022-05-31T09:33:00|1654003980|80.06|80.17|80.2|79.92|79.92|300|80.096667
2022-05-31T09:35:00|1654004100|80.24000000000001|79.93|80.55|79.93|80.55|966|80.340269
2022-05-31T09:36:00|1654004160|80.4|80.4|80.4|80.4|80.4|600|80.4
2022-05-31T09:37:00|1654004220|80.4|80.4|80.4|80.4|80.4|200|80.4
2022-05-31T09:39:00|1654004340|80.4125|80.525|80.525|80.3|80.34|502|80.404582
2022-05-31T09:40:00|1654004400|80.245|80.215|80.45|80.04|80.34|5104|80.177118
2022-05-31T09:41:00|1654004460|80.515|80.38|80.72|80.31|80.5|2487|80.501363
2022-05-31T09:42:00|1654004520|80.47|80.45|80.6|80.34|80.59|1608|80.467438
2022-05-31T09:43:00|1654004580|80.26249999999999|80.3575|80.395|80.13|80.2025|6325|80.252174
2022-05-31T09:44:00|1654004640|80.205|80.3|80.3|80.11|80.18|1800|80.180278
2022-05-31T09:45:00|1654004700|80.33500000000001|80.23|80.44|80.23|80.385|7906|80.293661
2022-05-31T09:46:00|1654004760|80.42750000000001|80.33|80.525|80.33|80.48|4800|80.393281
2022-05-31T09:47:00|1654004820|80.45500000000001|80.37|80.54|80.37|80.4|3119|80.434779
2022-05-31T09:48:00|1654004880|80.475|80.475|80.475|80.475|80.475|1500|80.475
2022-05-31T09:49:00|1654004940|80.5675|80.6|80.78|80.355|80.355|2660|80.570352
2022-05-31T09:50:00|1654005000|80.37|80.3|80.44|80.3|80.44|6000|80.309917
2022-05-31T09:51:00|1654005060|80.28|80.33|80.34|80.22|80.32|20588|80.297855
2022-05-31T09:52:00|1654005120|80.33|80.32|80.36|80.3|80.3525|1613|80.313686
2022-05-31T09:53:00|1654005180|80.36500000000001|80.32|80.45|80.28|80.45|4078|80.301226
2022-05-31T09:54:00|1654005240|80.455|80.46|80.46|80.45|80.45|200|80.455
2022-05-31T09:55:00|1654005300|80.505|80.52|80.52|80.49|80.49|200|80.505
2022-05-31T09:56:00|1654005360|80.47999999999999|80.45|80.55|80.41|80.55|735|80.468367
2022-05-31T09:58:00|1654005480|80.425|80.425|80.425|80.425|80.425|100|80.425
2022-05-31T09:59:00|1654005540|80.31|80.33|80.35|80.27|80.35|5814|80.310435
2022-05-31T10:00:00|1654005600|80.3325|80.3|80.395|80.27|80.34|12031|80.300894
2022-05-31T10:01:00|1654005660|80.25999999999999|80.31|80.31|80.21|80.3|8871|80.293039
2022-05-31T10:02:00|1654005720|80.27000000000001|80.27|80.28|80.26|80.28|540|80.272593
2022-05-31T10:04:00|1654005840|79.71|79.71|79.71|79.71|79.71|200|79.71
2022-05-31T10:05:00|1654005900|79.7425|79.695|79.79|79.695|79.745|702|79.763583
2022-05-31T10:06:00|1654005960|79.61|79.61|79.61|79.61|79.61|100|79.61
2022-05-31T10:07:00|1654006020|79.64500000000001|79.65|79.65|79.64|79.64|200|79.645
2022-05-31T10:08:00|1654006080|79.545|79.55|79.55|79.54|79.54|600|79.548333
2022-05-31T10:09:00|1654006140|79.485|79.42|79.55|79.42|79.55|1158|79.458541
